hospital,date,active,admissions
JHH,2020-06-16,73,4
JHH,2020-06-17,71,1
JHH,2020-06-18,64,2
JHH,2020-06-19,63,5
JHH,2020-06-20,61,1
JHH,2020-06-21,60,1
JHH,2020-06-22,60,4
JHH,2020-06-23,57,0
JHH,2020-06-24,51,0
JHH,2020-06-25,51,4
JHH,2020-06-26,50,2
JHH,2020-06-27,43,0
JHH,2020-06-28,39,1
JHH,2020-06-29,43,3
JHH,2020-06-30,40,0
JHH,2020-07-01,42,3
JHH,2020-07-02,38,2
JHH,2020-07-03,38,1
JHH,2020-07-04,35,0
JHH,2020-07-05,36,3
JHH,2020-07-06,35,2
JHH,2020-07-07,37,0
JHH,2020-07-08,35,2
JHH,2020-07-09,38,2
JHH,2020-07-10,42,3
JHH,2020-07-11,41,3
JHH,2020-07-12,42,4
JHH,2020-07-13,42,3
JHH,2020-07-14,42,5
JHH,2020-07-15,40,3
JHH,2020-07-16,43,2
JHH,2020-07-17,38,4
JHH,2020-07-18,43,5
JHH,2020-07-19,44,3
JHH,2020-07-20,44,5
JHH,2020-07-21,44,9
JHH,2020-07-22,51,0
JHH,2020-07-23,46,6
JHH,2020-07-24,47,4
JHH,2020-07-25,42,3
JHH,2020-07-26,43,2
JHH,2020-07-27,48,4
JHH,2020-07-28,47,3
JHH,2020-07-29,51,4
JHH,2020-07-30,45,0
JHH,2020-07-31,45,3
JHH,2020-08-01,45,3
JHH,2020-08-02,46,6
JHH,2020-08-03,45,3
JHH,2020-08-04,43,3
JHH,2020-08-05,46,5
JHH,2020-08-06,45,2
JHH,2020-08-07,49,4
JHH,2020-08-08,48,5
JHH,2020-08-09,46,5
JHH,2020-08-10,45,2
JHH,2020-08-11,41,2
JHH,2020-08-12,40,5
JHH,2020-08-13,43,8
JHH,2020-08-14,42,2
JHH,2020-08-15,42,2
JHH,2020-08-16,38,0
JHH,2020-08-17,34,2
JHH,2020-08-18,38,1
JHH,2020-08-19,37,1
JHH,2020-08-20,35,4
JHH,2020-08-21,38,2
JHH,2020-08-22,36,1
JHH,2020-08-23,36,1
JHH,2020-08-24,36,4
JHH,2020-08-25,42,2
JHH,2020-08-26,38,4
JHH,2020-08-27,38,3
JHH,2020-08-28,36,1
JHH,2020-08-29,36,3
JHH,2020-08-30,36,1
JHH,2020-08-31,36,4
JHH,2020-09-01,40,2
JHH,2020-09-02,37,2
JHH,2020-09-03,37,4
JHH,2020-09-04,34,0
JHH,2020-09-05,31,1
JHH,2020-09-06,32,1
JHH,2020-09-07,34,2
JHH,2020-09-08,31,1
JHH,2020-09-09,31,4
JHH,2020-09-10,34,2
JHH,2020-09-11,33,1
JHH,2020-09-12,31,2
JHH,2020-09-13,30,3
JHH,2020-09-14,32,2
JHH,2020-09-15,29,2
JHH,2020-09-16,29,0
JHH,2020-09-17,31,2
JHH,2020-09-18,35,1
JHH,2020-09-19,33,1
JHH,2020-09-20,35,4
JHH,2020-09-21,36,0
JHH,2020-09-22,34,0
JHH,2020-09-23,32,1
JHH,2020-09-24,30,3
JHH,2020-09-25,31,0
JHH,2020-09-26,30,0
JHH,2020-09-27,30,1
JHH,2020-09-28,30,0
JHH,2020-09-29,30,1
JHH,2020-09-30,28,2
JHH,2020-10-01,28,0
JHH,2020-10-02,28,2
JHH,2020-10-03,28,2
JHH,2020-10-04,26,0
JHH,2020-10-05,29,4
JHH,2020-10-06,33,3
JHH,2020-10-07,32,1
JHH,2020-10-08,28,0
JHH,2020-10-09,31,4
JHH,2020-10-10,32,6
JHH,2020-10-11,32,1
JHH,2020-10-12,30,2
JHH,2020-10-13,29,1
JHH,2020-10-14,30,0
JHH,2020-10-15,26,2
JHH,2020-10-16,26,3
JHH,2020-10-17,29,3
JHH,2020-10-18,30,1
JHH,2020-10-19,32,2
JHH,2020-10-20,32,3
JHH,2020-10-21,29,0
JHH,2020-10-22,26,3
JHH,2020-10-23,30,4
JHH,2020-10-24,32,3
JHH,2020-10-25,32,3
JHH,2020-10-26,35,3
JHH,2020-10-27,34,1
JHH,2020-10-28,34,3
JHH,2020-10-29,39,4
JHH,2020-10-30,39,1
JHH,2020-10-31,35,4
JHH,2020-11-01,39,4
JHH,2020-11-02,42,6
JHH,2020-11-03,46,5
JHH,2020-11-04,42,4
JHH,2020-11-05,46,5
JHH,2020-11-06,45,4
JHH,2020-11-07,50,4
JHH,2020-11-08,52,10
JHH,2020-11-09,59,8
JHH,2020-11-10,61,8
JHH,2020-11-11,65,4
JHH,2020-11-12,61,6
JHH,2020-11-13,55,3
JHH,2020-11-14,58,7
JHH,2020-11-15,61,9
JHH,2020-11-16,68,3
JHH,2020-11-17,69,3
JHH,2020-11-18,70,1
JHH,2020-11-19,74,6
JHH,2020-11-20,68,1
JHH,2020-11-21,68,7
JHH,2020-11-22,70,2
JHH,2020-11-23,71,7
