"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"325",2021-01-19,122.021978021978,118.021978021978,66.5494505494506,171.912087912088,35.2967032967033,220.974025974026,248.350649350649,125.207792207792,352.688311688312,77.051948051948,338.274390243902,395.426829268293,198.676829268293,563.518292682927,120.079268292683,516.416058394161,611.9099756691,307.041362530414,887.732360097324,187.29197080292
"326",2021-01-20,123.054945054945,118.989010989011,67.1318681318681,174.472527472527,35.6703296703296,223.87012987013,248.935064935065,127.12987012987,356.792207792208,78.3766233766233,343.5,399.853658536585,200.487804878049,571.841463414634,121.658536585366,523.681265206813,618.484184914842,312.085158150852,899.56204379562,189.652068126521
"327",2021-01-21,124.56043956044,119.868131868132,67.8681318681319,176.791208791209,36.065934065934,225.571428571429,250.727272727273,129.194805194805,361.012987012987,78.6233766233766,347.579268292683,403.213414634146,202.451219512195,578.469512195122,122.548780487805,530.07299270073,624.929440389294,317.102189781022,911.479318734793,191.226277372263
"328",2021-01-22,125.450549450549,121.307692307692,69,179.175824175824,36.5164835164835,228.285714285714,251.584415584416,130.012987012987,364.87012987013,79.3246753246753,351.731707317073,405.835365853659,204.75,584.957317073171,123.762195121951,536.74695863747,629.661800486618,321.608272506083,922.822384428224,192.78102189781
"329",2021-01-23,127.032967032967,122.362637362637,68.978021978022,180.692307692308,36.8131868131868,229.987012987013,254.038961038961,130.818181818182,369.467532467532,79.8051948051948,355.067073170732,408.689024390244,206.90243902439,588.475609756098,124.792682926829,543.299270072993,633.206812652068,325.464720194647,933.335766423358,194.557177615572
"330",2021-01-24,128.197802197802,123.362637362637,69.4835164835165,182.714285714286,37.2967032967033,231.714285714286,255.51948051948,132.116883116883,373.246753246753,80.064935064935,357.182926829268,409.560975609756,208.146341463415,591.993902439024,126.030487804878,547.844282238443,636.846715328467,328.63503649635,942.518248175183,196.07299270073
"331",2021-01-25,129.956043956044,125.461538461538,70.1318681318681,184.428571428571,37.8681318681318,233.298701298701,256.74025974026,132.636363636364,375.753246753247,79.9610389610389,358.615853658537,411.024390243902,209.548780487805,594.182926829268,126.682926829268,551.428223844282,638.515815085158,331.703163017032,947.824817518248,196.924574209246
"332",2021-01-26,131.406593406593,126.505494505495,70.6923076923077,186.516483516484,38.3626373626373,233.766233766234,257.363636363636,133.688311688312,378.272727272727,80.3636363636363,359.457317073171,411.371951219512,211.274390243902,596.756097560976,126.987804878049,553.52798053528,639.036496350365,334.233576642336,952.024330900243,197.515815085158
"333",2021-01-27,131.494505494505,128.406593406593,71.2417582417582,188.428571428571,38.8021978021978,235.311688311688,258.233766233766,135.116883116883,380.506493506493,80.4155844155844,361.036585365854,410.859756097561,211.841463414634,600.079268292683,127.365853658537,554.501216545012,638.474452554745,335.496350364964,954.917274939173,197.858880778589
"334",2021-01-28,132.593406593407,129.813186813187,71.7142857142857,190.164835164835,39.2967032967033,236.116883116883,259.233766233766,136.116883116883,382.077922077922,81.2597402597402,362.524390243902,411.90243902439,212.426829268293,601.664634146341,127.664634146341,555.199513381995,636.829683698297,336.311435523114,954.907542579075,198.138686131387
