"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"303",2020-12-28,43.2505491294619,50.7202560620508,26.125466503012,74.7570021803978,17.6050418914583,88.7973206967843,116.821866629554,54.154384820222,162.381440032092,37.0032985015414,130.720184868979,171.07066155332,80.4501436017136,240.867761517411,53.2808709676622
"304",2020-12-29,44.9054284023658,50.6437989787496,27.5179941129436,77.3645550300653,18.0691553482724,90.4247634313611,118.027753800581,55.3054936542776,167.402743974085,38.062394528982,133.999700128777,175.814464112039,83.3475500269907,246.962412179987,54.7745166419239
"305",2020-12-30,46.8689596108128,52.2048608847874,28.9395814586182,80.3183665172543,18.4864139302354,92.6225840094399,118.809163738594,56.9217943384328,171.387606529218,38.5747737439343,138.102807099348,179.235567867896,85.6781089159002,254.051032379889,56.1082475294894
"306",2020-12-31,48.1717694817203,54.6247196789146,31.0390781918536,84.4333724009648,18.9303988336221,94.3771685250981,120.308852198225,57.4024626050887,174.367884318296,38.8075942170846,142.320739303821,182.460303362441,87.6797615736915,259.946051640185,57.2741149283902
"307",2021-01-01,49.6307364442641,56.9063924352968,32.5610868215421,88.2456797809389,18.8597454913899,96.2385373381872,120.905670772178,58.1355442642897,177.244889433719,39.2728276416136,146.110193993873,185.544226406917,89.5016082359228,265.233206999994,58.5842443242633
"308",2021-01-02,51.5489815612297,60.1555483725317,34.2947153363313,90.9831543473846,18.8513759444768,97.8351183871999,121.225812309391,59.6396683539813,179.693622351698,39.9102673361616,149.257294749658,188.210026627657,91.8889961897574,270.708926884227,59.7936451472897
"309",2021-01-03,53.7067907717451,62.0592408509804,34.6669511206278,93.9965956830353,18.7399139539113,100.60413223328,121.573174307276,60.4748983674746,180.809914767546,40.1530011886756,152.137320669468,190.256920797691,94.1313520609921,275.525391380725,60.9669873117289
"310",2021-01-04,55.2641610811202,64.1582759665501,34.2078116078769,95.5752811923669,18.4105947758349,101.65204742074,121.191506597978,61.4743711175204,181.470658849602,40.1073162698182,154.430561294038,191.887556664751,95.8455098900829,279.603584573901,61.6559699890783
"311",2021-01-05,56.7621352663904,64.2042833462067,34.9724802523356,97.1930553074653,19.2327682614854,102.76525099731,120.469380456312,62.6883707555241,183.800129535514,40.3969653170809,156.597687326871,193.524209706591,97.3212495066537,284.913129197177,62.3901649600081
"312",2021-01-06,58.2536479544414,64.5803956321111,36.2820117275765,99.8012744157108,19.883897379538,103.004112030334,120.515485182906,63.0248877209119,184.989015150512,40.4988617082261,158.273337215579,195.012043123808,99.1121165571743,289.013048639221,62.9439741654197
"313",2021-01-07,59.0846796978709,64.1491182714151,36.2860510389323,101.020638361673,20.1955440629858,102.295248815331,119.175685956922,63.0863784705896,185.300702766552,40.002339538831,159.786346104365,195.441652224446,99.9033001245632,291.719019440136,63.3586320672996
"314",2021-01-08,60.2784372723779,64.4882935113033,36.5914522122312,101.369987545624,20.1512871797312,101.904322759283,117.816174657868,63.7653715538853,184.085070262753,39.4260509779642,160.976190308899,195.91855727603,101.408079529057,294.224869340456,63.4520394201352
"315",2021-01-09,62.7005582112312,67.1750511722916,36.6515688613735,101.814488163522,20.8321266317196,101.850484731399,116.810596520487,64.0600899364171,183.269787914666,38.5633880630147,161.883114293695,195.96103724022,101.984467071586,294.674834912647,63.8434764166932
"316",2021-01-10,63.7094773169581,68.2730547141403,37.0129622564852,101.519330055906,21.6609671990888,101.071990906115,114.583598160075,64.1630431138189,180.691818097666,38.2623412706652,162.280308561183,195.731714556035,101.985861995959,295.040991167675,63.5382165576104
"317",2021-01-11,62.5195919292505,67.2328788614618,39.2130080458003,101.974846776056,22.681269805723,99.3285393631086,111.914847298559,64.0882580436268,178.48940399568,37.6670213658094,162.256007311441,194.822581640207,102.469375288289,295.359870382769,63.4023669124726
"318",2021-01-12,62.7330654439905,67.0516545284305,40.1609185029426,100.814678370761,22.8193859470407,97.3841898780439,108.612615790431,63.7334667281634,174.210776237943,36.7279031939757,162.192173871158,193.796069835632,101.822557755244,294.512931514163,62.8030325673369
"319",2021-01-13,63.5692093312478,67.4977360731454,40.4559559891989,99.8980699263004,22.3029005961108,95.3237403027138,105.194757236571,62.9682852957845,171.074334225056,34.7336985042269,161.106378920016,191.553187077597,101.218008272322,292.748882353172,62.1693365154251
"320",2021-01-14,64.019899250155,68.6644695239103,41.1291867169775,100.953129594877,22.5418361053398,92.5487053581491,101.283909849981,61.5648594672051,166.426508245228,33.6428209771145,159.946980557994,189.097758339428,100.154832494355,291.204940412101,61.7431911436003
"321",2021-01-15,62.5640471836661,68.3096625668726,41.4514701186822,100.75589002634,22.2285711416636,90.8756545669545,98.6443245009546,60.3739970600501,162.62679552488,33.3512577334255,158.617420075971,186.601106298897,99.5443626651369,287.35617530843,61.3554487784882
"322",2021-01-16,61.5288347037387,69.1785913415415,42.2378976749554,98.587765468135,21.7729189591107,88.9260608489875,94.5711780054629,58.9429773261722,157.974302688777,32.8534134400595,157.08501594331,184.204113505985,99.0644401369834,284.259643736918,60.7753371031375
"323",2021-01-17,61.2011795229471,67.8840509619159,42.8011682083562,99.3074739130948,22.3928001822014,85.9571013570257,91.3482403757954,56.856387474849,152.50968267566,32.0594147156063,155.624237782767,181.790951145372,97.3418809853787,280.343433829561,60.0373260598374
"324",2021-01-18,62.5451386999821,66.5670291886306,41.2922208170014,102.04114060025,20.9035732591344,83.2077043056967,88.1704470744667,54.9483168285336,147.006702475807,31.2412561043702,152.996606498314,179.985649039604,95.9499865107791,275.852132337017,59.6247148774856
"325",2021-01-19,61.9217045954001,61.9326044987614,40.5955354688173,101.550529294534,21.4620449864406,80.6829214582971,85.3355046838811,53.6358171908406,141.741933911297,31.3456289279281,150.97727503785,178.598220382722,94.6207686515366,272.807331442139,59.3070597453637
