"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"350",2021-02-13,192.075,205.275,117.525,297.975,65.825,333.167938931298,354.297709923664,209.251908396947,550.282442748092,113.076335877863,436.352941176471,468.708235294118,271.122352941177,732.774117647059,147.143529411765
"351",2021-02-14,191,202.2,117.5,291.175,64.925,329.213740458015,347.404580152672,205.824427480916,542.389312977099,111.358778625954,428.214117647059,458.242352941176,266.465882352941,718.809411764706,143.68
"352",2021-02-15,188.275,199.925,115.675,288,63.525,324.343511450382,340.213740458015,202.206106870229,531.931297709924,108.641221374046,420.976470588235,447.571764705882,261.88,704.590588235294,140.597647058824
"353",2021-02-16,185.875,196.75,114.85,283.375,61.475,318.885496183206,333.091603053435,199.068702290076,522.763358778626,106.320610687023,413.131764705882,436.884705882353,257.56,691.202352941177,137.190588235294
"354",2021-02-17,184.175,192.65,114.225,278.075,60.475,313.229007633588,326.106870229008,195.587786259542,512.374045801527,104.007633587786,405.204705882353,426.684705882353,252.56,676.272941176471,133.917647058824
"355",2021-02-18,180.7,188.975,111.9,273.025,58.725,307.076335877863,318.374045801527,192.374045801527,501.335877862595,102.145038167939,396.863529411765,416.616470588235,247.717647058824,661.52,130.505882352941
"356",2021-02-19,178.925,185.9,111.6,270.075,58.3,302.030534351145,309.961832061069,188.419847328244,490.465648854962,99.6488549618321,387.769411764706,405.491764705882,242.527058823529,646.494117647059,127.016470588235
"357",2021-02-20,176.2,183.075,110.025,265.4,57.325,295.618320610687,301.702290076336,184.251908396947,478.18320610687,96.93893129771,379.261176470588,394.223529411765,236.849411764706,630.414117647059,123.454117647059
"358",2021-02-21,173.775,179.55,107.725,260.875,56.4,288.63358778626,293.648854961832,179.946564885496,466.541984732824,94.1908396946565,370.898823529412,383.063529411765,231.569411764706,614.374117647059,119.943529411765
"359",2021-02-22,171.65,175.425,107.325,255.15,54.75,281.450381679389,285.106870229008,175.778625954198,454.801526717557,91.8015267175573,361.689411764706,371.24,226.270588235294,597.362352941176,116.098823529412
"360",2021-02-23,168.925,170.95,105.075,250.7,53.3,274.36641221374,275.969465648855,172.351145038168,441.977099236641,89.3587786259542,352.056470588235,359.567058823529,220.484705882353,580.414117647059,112.343529411765
