"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"376",2021-03-11,4.64085121502511,6.2767427858723,2.9789889224366,7.97304051162415,2.27541205059655,6.09677600863233,7.58366884155052,4.50942851323708,11.2946457573587,2.82838592015836,9.45958557070817,9.88453757365426,5.79212016927855,15.4150735558921,3.58028898332973
"377",2021-03-12,5.06896192528608,6.94964027846046,3.21364279284428,6.99888383958471,2.01850811244344,6.62906670484684,6.73667473987726,4.32297025096035,11.3392777691154,2.78888300625647,8.1507920094076,9.62864814249139,5.59765942188879,15.363115673046,3.34014068452027
"378",2021-03-13,4.16465784909157,5.95399025864168,2.9,8.35523787812172,2.62440469440214,5.84549430112607,7.38809844286608,3.99276777571766,11.2042919261583,2.61626118015532,7.69472924354639,9.47716979930424,5.57607047460094,14.3986112363774,3.00283602973144
"379",2021-03-14,4.8963634464774,5.49539580012213,2.77308492477241,7.22841614740048,2.01850811244344,5.84953020943688,6.73363793530896,3.45490482424051,10.3661648780486,2.38700715506345,7.85165083031879,8.65338576056258,5.18309415811668,13.9899408251307,3.21767093226975
"380",2021-03-15,4.16765821535308,5.52358579185659,2.92564095541473,7.5084951887845,2.28254244210267,5.30710608318207,6.27134430070889,3.65357897912182,9.72159507866339,2.29995325551747,7.74433834943877,8.75811169232415,4.82031112148982,13.719183850956,3.01923338650965
"381",2021-03-16,3.66051567405468,5.943431248025,3.11839301564123,7.05248183266005,2.30434372436058,5.42661656616853,6.63496239238561,3.39061937548759,9.38917644039,2.17818244414443,7.39168671724874,8.31727397449322,4.99454872386057,12.7489930941033,2.74030887557662
"382",2021-03-17,4.20713679359253,5.03264344057872,1.97737199332852,7.32627975168844,1.66564552051149,5.36635249117083,6.57796495751868,3.98904449247426,8.63342917356209,2.46818813776626,7.19293155534387,7.92206886403451,4.65874985087313,12.2791778632179,2.5543406302534
"383",2021-03-18,3.96232255123179,4.75368278285373,2.70543434590455,6.46717674105169,2.47474746186353,5.11808009863497,6.42451564389627,3.56904313186393,8.61688369957691,2.32251829991143,6.56200830090731,7.56123275864788,4.24101965933489,11.8089413077417,2.7013527304657
"384",2021-03-19,3.59156999096495,4.89259644769523,2.65282867897646,6.14817045957576,1.99436706751791,4.37048067544304,6.22584487884586,3.10055249770711,8.72093890373858,2.07986901910843,6.79837310072115,7.29123814130479,4.14486066064877,10.9648689712688,2.43453128149006
"385",2021-03-20,3.24798014156491,4.15444039552862,2.17428149051589,7.53653600800792,2.08806130178211,4.79804847378693,5.12956651718976,3.31982968792212,8.36211373390199,2.04748136570123,6.19384849423605,6.84813252143545,3.88910927260421,10.3869191092121,2.51878369064849
"386",2021-03-21,4.04691240330205,4.72334627144782,2.17715410570772,6.09077170808429,1.7464249196573,4.33839030529948,5.53659864867129,3.38237719611014,8.18427416978838,2.09605588311382,6.00357448312207,6.83765029755804,3.62372497562411,10.6778938607311,2.25584853107555
"387",2021-03-22,2.79240040108864,4.14962347689522,2.41039415863879,6.19430181699278,1.73205080756888,4.46589025249547,5.32958927882902,2.95336004040019,8.56146943074546,1.95013891320131,5.55831444914471,6.16302356928568,3.6932303168108,10.0027805130913,2.21931876451913
"388",2021-03-23,3.81763997778733,3.88458491991101,2.47184141886165,5.66563103281532,1.75783958312469,4.20346684302122,4.9874149640879,2.86701948213023,8.1821806353026,1.62080322321931,5.22461567931459,5.82612467423442,3.69928450951707,9.5913415394277,2.18023331344103
"389",2021-03-24,3.33682109199759,3.89711431702997,2.64752242672277,5.88621270427768,1.3,4.43640847752737,4.94414934895809,2.95414916028826,7.99820066006909,1.90322964555946,4.76758721884282,5.74029694323733,3.33938974596145,9.16912224633121,2.13121925238351
"390",2021-03-25,3.34280944715669,4.82156613560366,2.11999410376538,5.22918492692695,1.5919720474933,4.33052567201749,4.70085236274328,3.1155139807699,7.4557451599097,1.5968619071747,5.11476267600306,5.0925899081232,3.53840735975928,9.10595652804567,1.94818130075793
"391",2021-03-26,3.01651703127962,3.8765319552404,2.02422824799972,5.24112344826947,1.30288142207954,4.99998251847069,4.76705180777986,2.46618054910557,7.42165341006971,1.73179846548686,4.74019607437597,5.31870161328976,3.1222775823168,8.01420054532097,1.96460584458244
"392",2021-03-27,2.2933327277131,3.92300904918661,1.71300175131259,4.7997395762687,1.70861786248418,3.94518410147686,4.50214744583418,2.48282956151812,7.4662576438897,1.7110819413968,4.56228801943919,4.91523948946075,2.92500400733172,8.35617170337783,1.76861684271415
"393",2021-03-28,3.0347981810987,3.38378486313773,1.88679622641132,5.4767120610819,1.7318703762118,4.14072709612259,4.67189292818534,2.99224956930318,7.05970277690046,1.30170019662734,4.50270568408691,4.94415932375617,2.92688858971588,7.94780760176922,1.71742786675559
"394",2021-03-29,3.01237032915941,3.5894811602793,1.88679622641132,5.7567351858497,1.47457621030586,3.95988273684359,4.5667743545484,2.77484853547879,6.62075463487373,1.5230490275835,4.1684954510302,4.59399337031576,3.02195518642963,7.57086018068174,1.51086675094144
"395",2021-03-30,2.52932797398835,2.96215715315714,1.6953981833186,4.86665953195824,1.24398553046247,3.88583360612897,4.13290930691678,2.74405980747986,6.75996330599318,1.78984438348126,4.15695523389524,4.83676004685627,2.72179464507618,7.14376578699058,1.45276922059373
"396",2021-03-31,2.69153766460735,3.3569889782363,2.02469133450015,4.9927447361146,1.47457621030586,3.27558310397652,4.06564340853805,2.15953645314039,6.47732302239954,1.35839260319878,4.16422330205076,4.45023478250048,2.78712214066582,7.01720830934548,1.61419996360158
"397",2021-04-01,2.79284800875379,3.02396676569039,1.59373774505092,4.45750771171515,1.38721843990051,4.0482205068631,3.90041228757331,2.72810800310684,5.94593280259329,1.66898232775915,3.61153553593698,4.35215636804367,2.45095843127416,6.96104275687026,1.4278224037355
"398",2021-04-02,2.6850279328156,3.20146450862726,1.56504792258895,4.67540105231626,1.09287464971972,3.43367230115355,4.19605759789339,2.28112755388194,6.40664061697745,1.36954308886037,3.70241555863982,4.24862868167371,2.42039317347138,6.71757494552825,1.4294461385361
"399",2021-04-03,2.59615099714943,3.29383894566811,1.61070636678446,4.57540981771032,1.17366945943055,3.45252584867051,4.29155661620375,2.31701710508417,5.42025587106604,1.27825561459142,3.67219120353149,4.21209331613229,2.4024209243132,6.29661302925139,1.50329925514484
"400",2021-04-04,2.4071508054129,3.47706773014274,1.36725089138753,4.10601692641421,0.823103881657716,3.53046626713804,3.87978554234045,2.27201529338739,5.79873375920863,1.25148941043082,3.55499278514348,3.93516732408065,2.42692623172935,6.05078850419442,1.38713815070271
"401",2021-04-05,2.31030301042958,2.92232783924049,1.61225773373862,4.08044115262063,1.02194667179848,2.77331511590824,3.19206302565743,2.26942341081674,5.33706262988325,1.20649331909193,3.28352582881757,3.65115216208893,2.23510092044352,5.88507889779041,1.2424242403783
"402",2021-04-06,1.91049731745428,2.99791594278425,1.14427924913458,3.22868007086487,1.08972473588517,2.89537466531324,3.15336480192732,1.85896279476983,4.88749958922947,1.35920741154534,3.29831665150028,3.70354286566059,2.24998269889542,5.8274358852363,1.12916664006605
