"","date","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"460",2021-06-03,0,0,0,0,0,1.91129550868812,3.33314297380035,1.10847475175366,3.60326367610187,0.541500697739487,1.69654401407553,2.89180586770111,1.16226720331562,3.52055830740634,0.511048857014721
"461",2021-06-04,0,0,0,0,0,1.89371451200867,3.14676081185334,1.12211143969545,3.60549470924068,0.565194881233977,1.70805703169695,2.86374884363946,1.14934372728971,3.47635891131466,0.495985265993907
"462",2021-06-05,0,0,0,0,0,1.92123923257885,3.16605296570053,1.17636535176157,3.64302130365283,0.558661815680366,1.71786300012464,2.83563483429986,1.11417665537255,3.52010065914584,0.499500096116868
"463",2021-06-06,0,0,0,0,0,1.8345403072168,3.19802689592162,1.14422362885812,3.50374195399791,0.558661815680366,1.63762001329932,2.79505247519619,1.09591503219249,3.54551932253034,0.491026747169627
"464",2021-06-07,0,0,0,0,0,1.78609642368675,3.18127424124837,1.11794929093269,3.34253532406682,0.572162738975374,1.64978597752142,2.8480076202223,1.07077180068162,3.57087487947202,0.473789114023819
"465",2021-06-08,0,0,0,0,0,1.74433744688508,3.12669742956308,1.07706650531037,3.30351835087254,0.583058212333689,1.65903211037418,2.91023346546793,1.05279328570339,3.55983437272659,0.466060571972575
"466",2021-06-09,0,0,0,0,0,1.7577485851432,3.11710339048869,1.09472143067552,3.15814728839619,0.567355852704184,1.62716727978453,2.906763381564,1.05275121520104,3.51962879451954,0.46326059688132
"467",2021-06-10,0,0,0,0,0,1.77929745211714,3.12682788450392,1.06624581368006,3.24735372535645,0.569815499435772,1.67327704082836,2.81899243331733,1.02224395276369,3.55275885780755,0.451531802709545
"468",2021-06-11,0,0,0,0,0,1.78788990644854,2.99878576130218,0.976801004104702,3.25284006293433,0.531288935612376,1.67629514045822,2.79781823055234,1.02549911892043,3.53883917393288,0.443989463386933
"469",2021-06-12,0,0,0,0,0,1.83215648606486,3.07369234628155,1.01138556612144,3.22274852193935,0.506815043441155,1.68425889568132,2.83637665445751,1.03519785648741,3.42447611733542,0.443290620693088
