"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"423",2021-04-27,32.5066700847687,42.5521045307985,19.0919983239052,58.0550807423433,13.6693086877135,26.0685954012362,34.4820022482135,16.9402253868012,48.745927448528,10.7685289369129,43.053202328905,50.2677027190682,26.3399909289517,78.3817123808754,16.1068766485723,20.1962891842389,23.5019439912398,13.6867105661017,35.7335265597843,6.48375526644407
"424",2021-04-28,32.0532307264026,41.0217308264778,18.6460076155728,56.0204284167838,13.2902370182025,25.4354713613762,33.2671189753041,16.3770137811708,47.7021546434656,10.2952873145968,41.3895999912236,48.1081419117931,25.3614145916325,75.0470198330879,15.4459969543617,19.1034998214689,22.1241398617027,12.8841805313811,33.7233482640796,6.10403171872057
"425",2021-04-29,31.1011318122026,39.2525158429367,18.252901139271,55.1771111965822,12.6649121591901,24.9509039600221,32.5055854854522,15.6999172972372,46.4217341633678,10.1169958292324,39.9494283772998,45.9938834031366,24.3424766177131,71.6873571310968,14.8955684042681,17.9508026334005,21.1116723379581,12.1628481070257,31.6529864382402,5.80604906813615
"426",2021-04-30,30.1120640275621,37.7376681844546,18.0011221872415,54.1625110200773,11.7630098189196,24.6939364743726,31.7041529220953,15.2883889639513,45.581877696556,9.89194736860828,38.1865787125298,44.2935229176962,23.0938434222658,68.7495620258875,14.0551331136613,17.134262834482,20.0259931047976,11.6242448988893,29.684028216614,5.46917795043524
"427",2021-05-01,29.1509245136411,37.0741095644926,17.3735891513527,52.5723463429206,11.2247761670334,23.8283617388424,30.4481890215873,15.0232891540693,44.4911229197692,9.53738233115874,36.6290593957834,42.6962170846322,22.0426551162058,65.2324253127185,13.3061404722867,16.2643087554406,19.0813433329143,10.7369479297499,27.9199458965136,5.18319136437197
"428",2021-05-02,28.1349675670686,35.7249268718636,17.1561767302625,51.0691139535434,10.682864784317,23.0380783239875,29.650824719524,14.4780642839279,42.7619755768546,9.15500907946469,34.9900960415778,40.9741404933034,21.1603374863129,62.0245087259143,12.6039001065815,15.45738172021,17.9840717707971,10.1216167988326,26.5619031825176,4.79128774117871
"429",2021-05-03,26.8462362352714,34.1378441029893,16.77326444077,48.6212957457944,10.5713007714283,22.3057142961,28.6091706347367,13.8691953003423,40.9234196631717,9.42542596979886,33.6223602818817,39.2186238380476,20.3203956608972,59.1471186783195,11.9361761970192,14.731064979473,17.1627346529887,9.50685903566032,25.0938596258218,4.61475791522749
"430",2021-05-04,25.3899507679712,33.2104140293372,15.7478760472643,47.2926379048579,10.42719521252,21.5961329204544,27.608377056081,13.5372751981279,39.8571356385375,9.32937309365323,32.1803758653533,37.6155365030381,19.2832593576698,56.5042142292336,11.3733555292674,13.9893103810273,16.3918590942201,9.0010128429621,23.7370725679867,4.30605632278568
"431",2021-05-05,24.4016474853646,31.7199243378669,15.0502624561833,45.2428292660837,9.75756117070244,21.2061356846811,26.7223467679712,13.2209078875626,38.7030804359374,9.18656394512855,30.5518187141524,35.5214399614599,18.0553782011197,53.6764590722801,10.8261985483412,13.2800853178362,15.3523527850573,8.50736756038574,22.5148158080549,4.06564967294652
"432",2021-05-06,23.012422732081,30.7312544488506,13.951702405083,44.8989264905075,9.51209756047529,20.1138832381217,25.9516600778755,13.0473598762491,37.6812315074652,8.95135858742525,29.4789104158012,33.9879406138126,17.4378387777587,51.6668987959345,10.3605397048201,12.7338428415214,14.7700763857171,7.86702051699404,21.3262354779911,3.81888810592101
"433",2021-05-07,22.4601068563798,29.1906560392191,13.4639667260433,43.139309220246,8.9044932477935,19.8368615232936,25.1183155093518,12.7318165277159,36.6709422070532,8.82540103083739,27.6864380733129,32.672852106508,16.6695619867115,49.1458015993181,9.83211992288879,11.9358657553314,14.0185974834238,7.3052324024676,20.3326466213192,3.66533645489648
"434",2021-05-08,20.9241391698679,28.2493822941317,12.8449834565872,41.0128028791011,8.95401585882,19.0223481781871,24.1735244503632,12.3739291365664,35.5498289211349,8.51568774714102,26.6597244702731,31.2161259744384,15.9938609721051,47.135607441032,9.44622740671886,11.1354913234102,13.3760253009677,6.85391303519061,19.6512807762803,3.49426852666522
"435",2021-05-09,20.2477159205674,26.9399331847724,12.2702893201424,37.9308634228118,8.59583620132445,18.477260196988,23.2680416176462,11.9862085542046,34.5020059318738,8.35746947564575,25.4215810644065,29.3308619093595,15.2840586385258,44.5858127739226,8.98560937263372,10.4057072993967,12.7737063820575,6.58503071493315,18.6071645411534,3.3741289471045
"436",2021-05-10,19.2031247457282,26.3698615847714,11.9235061957463,37.2789484830246,8.04887569788477,18.6127466567141,22.749161787703,11.5995533061453,33.3054054235525,7.88313254057535,24.0166629480254,27.9680015587747,14.5213283333219,42.7301414827156,8.52152273966545,9.899307756664,12.0023945965647,6.24805896811367,17.5375038757887,3.17057236682421
"437",2021-05-11,18.2215696360111,25.8289837198447,11.5478829228565,35.7474698405356,7.82519009353766,17.9342608851746,22.0286769235538,11.2540975719383,32.5918506898381,7.53885630151295,22.7521745796656,26.8328853747339,13.7750287069353,40.5577699747654,8.21404924875214,9.48545578404758,11.4654830231671,5.90998559128194,16.5626578390374,2.95389810741985
"438",2021-05-12,18.2982403525585,25.5898417345633,11.0664176678815,35.0714983996977,7.76597707954382,17.58840590828,21.0912023600018,10.9850842484838,32.0396221089414,7.26601133266647,21.3614375965107,25.6660583898149,13.089166913822,38.9451484234546,7.86495493093722,8.87158550468942,11.017437549864,5.6414016769494,15.7123773026169,2.82778996028082
"439",2021-05-13,18.375374826109,24.4328385579736,10.5705439784337,33.8372575720906,7.42431141588228,17.1443861621036,20.3396192082819,10.647650889815,30.5162326639818,6.85004530009929,20.4381638323106,24.3198973944998,12.558215537379,37.0510489623434,7.52424682910792,8.46628155179506,10.5105401012994,5.34995193784349,14.7948696292072,2.64385999347007
