"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"397",2021-04-01,2.81396517391385,5.10392006206994,2.72389427107588,6.21469226913127,2.08624063808564,4.2277450908117,5.3780974336056,2.69969037611755,6.13397953181704,2.16626067259574,6.03186873512889,7.0785366192247,4.22496699433733,10.4159301113201,2.75304567747772,4.12641406667637,4.60848202461956,2.79887329904128,6.78905276858129,1.6830214682942
"398",2021-04-02,3.70669664256464,3.99499687108764,2.43515913237718,5.76111100396443,1.82208671582886,4.06090793599602,4.52782473193428,2.7857778514549,6.63560997414669,2.04842190317311,5.97079459160568,6.75985353683337,3.90840184289952,10.1795460337452,2.5911723262148,3.76141656212123,4.37130766619592,2.79330722579405,6.25196753533493,1.68380913971325
"399",2021-04-03,3.69561902798435,4.51969025487367,2.41462212364585,5.3964432731198,1.83128370276154,4.01999142386059,4.61404193050165,2.94511438320681,6.57274229029663,2.17252547320425,5.86332318410597,6.99070584094968,4.0080438180753,9.87513045014069,2.52563372799005,3.82591720753326,4.34069569458107,2.67120951378876,6.18077864565566,1.5459429374971
"400",2021-04-04,3.53411940941446,4.38743660922867,2.53266657892428,5.80995697058076,1.69481562419043,3.59244703324077,4.79647861960866,2.83933584946327,6.28464595001398,1.98668944904224,5.51940190694817,6.80700449229192,3.8709271943635,9.61983261867755,2.75745434608418,3.48312687382307,3.92820116495929,2.45838468911761,6.04005786744347,1.46802773841649
"401",2021-04-05,4.07965684831457,3.81072171642066,1.76227126175285,6.31011885783461,1.72615178938586,3.84287105133088,4.48530672178553,2.63861911693471,6.17013046538208,2.0719540609225,5.17723850663326,6.66667079829268,3.81916114828703,9.24064725019642,2.25236940600666,3.64203310491753,3.58365610755927,2.24621520552565,5.51833666437158,1.41239126483779
"402",2021-04-06,4.07057735462674,3.81518020544247,2.09045449603669,5.30844610031975,2.08048071368134,4.02357247503818,4.4830177528468,2.89202837938816,5.67788578194539,1.8721564506339,5.12705413303437,6.28835213327075,3.4309085201421,9.29151133207306,2.32114863243532,2.91958016756727,3.59457602560896,2.26072945532818,5.43233734963415,1.25014087723684
"403",2021-04-07,4.06196996542318,4.57055795281058,2.28420664564308,5.67746422269661,1.99559514932263,3.35261842539537,4.36344319275611,2.43655341982272,5.9393188274586,1.92752787436094,5.24716418865028,6.11565465510988,3.21479247215179,8.47582392216762,2.22367237399579,3.11938366442021,3.42974137631725,2.13880539576171,5.00811503062113,1.26650129631939
"404",2021-04-08,3.28079258716549,4.3094779266171,1.87285877737751,5.67450438364444,1.75909067418368,3.66450785151639,3.66155071369365,2.48232830862448,5.65503950329661,1.6389613070759,5.20318824771071,5.64714090630872,3.37331086293429,8.9375002958703,2.26000146983507,2.96420461888196,3.33614333586494,2.2246865706655,5.03778614489812,1.18037282706771
"405",2021-04-09,3.04657184389274,4.82592996219382,2.5568730903195,4.91934955049954,1.95192212959431,3.34406429889338,3.87617167894569,2.5633916029751,5.49373303698408,1.83054266426587,5.00349794693309,5.823363096237,3.32475903125206,8.00086282793895,2.22968423138913,2.91304565424622,3.20236081518088,2.11229670745926,4.59773141932906,1.25030404550517
"406",2021-04-10,3.04210453469305,4.90554787969703,2.18439923090995,5.95315042645489,1.42112631387924,3.07089609985419,4.16993678051101,2.45415591452319,5.64796863283356,1.89744784617082,4.80719190687046,5.6035202658649,3.09126511096513,8.34711559646355,2.23677142173477,2.73640904272033,2.99221394118461,2.03264921409557,4.53006063933861,1.15820890434766
