"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"366",2021-03-01,2.20454076850486,3.73195659138742,1.88348082018374,3.93700393700591,1.24096736459909,13.327696725241,17.0917377700455,9.14808723176599,27.5773457751104,7.44244583453585,25.198607534416,30.5283211962553,17.2197927398312,44.7218043075328,10.8952488355213,67.6588679487721,84.0976284894747,43.083703477894,122.786684665033,27.2740350120741
"367",2021-03-02,2.14184499906039,3.61386219991853,1.61554944214035,3.49964283891942,1.2031209415516,13.6543033509586,18.2904346585859,9.05207158610669,26.3690633129051,6.64285330261026,23.5797976817139,29.2501919846442,16.6491780672651,42.0859236052442,10.0488006777788,67.2401388092696,84.5601033098786,43.1272410819408,122.204078708639,27.0749463363496
"368",2021-03-03,2.35584379787795,3.72021504754765,1.62095650774473,3.17647603485372,1.28452325786651,14.4923255552724,18.10635247641,9.0194234849019,26.2261320060736,6.89836937254015,22.5514881085974,28.5971319079513,16.4893863689887,42.4080705107465,9.74616100426151,66.8103713293309,84.493838384675,42.9290320696099,121.443729572649,27.3061144454571
"369",2021-03-04,2.15580611373101,3.76131625897105,1.61554944214035,3.39521722427299,1.24096736459909,14.0580048371026,18.3698121928342,8.73498712076898,25.7834733889753,6.87459089691889,21.7742265308114,28.2093146336235,15.7949827945928,39.7733634353128,9.36907105616231,67.0016392749263,84.1728676000447,42.8577137790981,120.366841864707,27.352542113277
"370",2021-03-05,2.35584379787795,3.8636122993903,1.43090880212542,3.63180395946698,1.34536240470737,15.0910569543687,18.9009920374567,9.20040759966644,25.1565100918232,7.5591004755857,20.5077187783638,26.6360935852366,15.4172422314982,39.3992263855589,9.20899318902754,66.9243082676943,84.1811662428123,42.6136002944331,120.408675033975,27.1904890149312
"371",2021-03-06,2.4576411454889,3.59304884464434,1.40978721798717,3.63971152703068,1.34536240470737,13.6794553985164,18.7365952083083,8.89156904038876,24.2884231682503,7.67723908706769,19.2807572323107,25.9985292925817,15.1552211142998,38.300706279505,8.86975177615725,66.7151839650044,83.9869258333552,42.2968416301932,120.618985072569,27.1213587413239
"372",2021-03-07,2.5743931323712,3.65068486725436,1.52970585407784,3.98246155034798,1.23592070943083,13.5804086830993,18.7826382598399,8.33426661440585,24.1024376360566,7.21040914234414,17.9728876744397,25.6739340895075,14.5988071933211,36.2382614265758,9.04600723598982,67.0924708364831,83.8917410640046,42.3167333020686,120.909181923614,26.9017056516455
"373",2021-03-08,2.55734237050888,3.68646171823335,1.4525839046334,4.08013480169467,1.37386316640341,13.0517240240514,17.9679575912233,8.95488693395958,23.6666431924766,6.80349175056456,17.2414965820713,25.2397896617098,14.230960375047,35.3985925801147,8.96839443632092,67.1518081751082,83.3345159014399,42.4018829503405,121.222916746107,27.0289998611879
"374",2021-03-09,2.30434372436058,2.72901080979904,1.35185058345958,4.2731721238443,1.18743420870379,12.9769025580067,18.1380814861991,7.83964284900786,23.6006355846617,6.54427230484796,17.6056968738606,26.4996635328175,13.6729008164052,34.7021670476818,9.3457625940128,67.3388479763156,83.4757194622849,42.3325066873735,121.187031045118,26.5657164298031
"375",2021-03-10,2.40624188310319,2.69211812519436,1.24398553046247,3.90224294476907,1.1,13.2476412994918,17.8674984259129,8.44037913840368,23.3454492353435,6.95323665640686,17.8444832648748,26.5427677252866,13.3716142850108,35.3117072182395,9.5023100216526,67.2028016732515,82.954320999925,42.5906201204116,121.184794151313,26.6193300039351
