"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"366",2021-03-01,57.8408493769494,58.644525246467,32.0527302813017,85.2377638470546,19.845809656291,119.276220915369,133.020262109942,68.2834765072946,194.888480359325,43.9044904891911,178.72952109503,202.374239617864,106.695773211787,305.883995602375,65.1175395971266,240.89450095307,270.553612161351,150.069696122579,414.242988617958,86.3822270015984
"367",2021-03-02,57.7337169228762,59.0338921331647,32.4973497204101,85.5794345930686,19.983983983984,119.499051122319,133.124416495121,68.7844999358196,195.395326708065,44.1161323754501,177.579442282992,201.044917141839,106.751559798271,304.636953446362,64.8242788019643,236.461442137814,264.31519047619,147.957658886162,407.48543412995,84.4668642134168
"368",2021-03-03,57.9893124019041,59.7285866360956,32.6964709861835,86.6679116455311,20.1053159354941,119.568874502299,133.066398349162,68.9364309779411,195.886923514229,44.427761485826,176.883146870164,199.751259625464,106.2999618581,302.964788973114,64.2305994024484,232.574094808148,258.752535858779,145.743868658575,401.098809512694,82.5731323318252
"369",2021-03-04,58.4602780562725,60.5313291721822,32.7928500586898,87.8468694825479,20.3569980018087,119.814107129696,132.839270076686,69.1889615574819,196.422165366899,44.5014052311621,175.697799490533,197.988382445291,106.04664367618,301.651110306297,63.9892536288284,228.368465758711,253.10770206808,142.859391765353,394.312801888764,80.5897127912045
"370",2021-03-05,58.6195281503272,60.994492802798,32.9501056371492,88.5865622193528,20.4101113893446,120.048236271915,132.164906237272,69.781074760342,196.550187054803,44.7076914899786,174.809250778635,196.260199138418,105.459675689075,299.794579164667,63.5780588211611,224.720831587397,246.91695170951,140.109292760509,385.929741884562,78.5765002222551
"371",2021-03-06,59.1547297297297,61.6365323378414,33.2152530421761,89.0871500741951,20.6868827514164,120.189043735846,131.855170887442,70.0069080107031,196.679674801498,44.6104849414423,174.399063932756,194.437408433528,104.727665343971,297.779543831223,63.104190186713,221.696911005931,241.22115142988,138.195811697633,379.556729998831,76.7153401067428
"372",2021-03-07,59.652019769501,62.5246102119311,33.3699949452039,90.2862425131402,20.8743814236772,120.324724323275,131.885062393431,70.1316352713466,196.54550206268,44.4639632663281,172.940830296891,192.096326649315,104.38640596493,295.160576529554,62.5252893661373,217.226985831786,235.618610444835,134.90599586116,370.259939422958,74.9506570757706
"373",2021-03-08,59.9023325214153,63.0100816679764,33.8968877861623,91.4731730355062,20.9705608639524,120.125011641418,131.425462195157,70.1171697464832,196.573297333864,44.1834106551424,172.055231221654,190.225368103601,103.595604924894,293.171376744495,61.8602322141926,213.176468807595,229.222301726134,131.782406264117,361.313303700747,73.0750188151812
"374",2021-03-09,60.5711622953002,63.6311277329452,34.4886971172109,92.4388146545201,21.2166786558422,119.993710744209,131.024051807796,70.1819278152414,196.204603018353,43.9720197752969,170.631951485283,187.174039982595,102.754060940994,290.297034039078,60.8122258061107,207.540029289657,222.895227259343,129.125162477954,352.12038725454,71.0293236626949
"375",2021-03-10,61.1521910259774,64.2388178308178,34.6130088045229,92.6548458686458,21.1480146059004,119.43979712242,130.287607192018,70.074392490023,195.210222498275,43.8822468197971,169.174802951756,184.553525802747,102.116270720392,287.152825345927,60.0160502715449,203.25427046914,215.633618952102,125.843817323533,343.149626786177,69.1093492445055
