"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","cat JHH","cat SH","cat BMC","cat HCGH","cat SMH"
"321",2021-01-15,3.53378378378378,5.66891891891892,1.84459459459459,7.14189189189189,1.35810810810811,8.71554252199413,12.5014662756598,5.01173020527859,16.6187683284457,3.41055718475073,15.209375,21.4125,8.8375,28.253125,6.03125,25.2285714285714,36.3928571428571,15.0642857142857,48.0142857142857,9.8
"322",2021-01-16,3.86486486486486,5.93918918918919,2.27027027027027,7.35135135135135,1.52027027027027,8.93841642228739,13.2434017595308,4.98826979472141,16.8181818181818,3.39296187683284,15.5875,22.771875,8.825,28.953125,6.309375,26.6142857142857,36.8214285714286,15.1857142857143,49.4571428571429,10.6428571428571
"323",2021-01-17,3.68918918918919,5.91216216216216,1.83108108108108,7.13513513513514,1.48648648648649,9.34310850439883,13.5454545454545,5.2375366568915,17.3724340175953,3.7624633431085,16.315625,22.803125,9.14375,30.653125,6.140625,27.45,37.6214285714286,15.8214285714286,50.1857142857143,10.7571428571429
"324",2021-01-18,3.81081081081081,5.9527027027027,2.13513513513514,7.62837837837838,1.42567567567568,9.61290322580645,14.0117302052786,5.42228739002933,17.9706744868035,3.70381231671554,16.8625,23.1375,9.61875,30.54375,6.415625,27.6071428571429,37.3285714285714,16.25,51.0642857142857,10.75
"325",2021-01-19,4.22972972972973,6.01351351351351,2.24324324324324,7.2972972972973,1.48648648648649,10.1964809384164,14.099706744868,5.67741935483871,18.2903225806452,3.69208211143695,16.96875,23.8375,9.746875,31.36875,6.653125,27.7428571428571,39.5071428571429,16.35,52.6571428571429,11.6142857142857
"326",2021-01-20,4.33108108108108,6.18243243243243,2.46621621621622,7.75,1.37837837837838,10.0850439882698,14.7507331378299,5.94134897360704,19.0117302052786,4.02052785923754,17.29375,25.009375,10.146875,32.55,6.903125,28.0571428571429,39.3,16.3,52.8071428571429,11.4428571428571
"327",2021-01-21,4.14189189189189,6.29054054054054,2.21621621621622,7.61486486486486,1.48648648648649,10.3988269794721,14.9120234604106,6.09090909090909,19.2961876832845,4.06744868035191,17.86875,24.978125,10.615625,33.2875,7.1875,29.6714285714286,38.9785714285714,16.6214285714286,53.7642857142857,11.45
"328",2021-01-22,4.01351351351351,6.26351351351351,2.16891891891892,7.86486486486486,1.56756756756757,10.475073313783,15.4076246334311,5.99706744868035,19.6041055718475,4.19354838709677,18.203125,25.5125,10.646875,34.55,7.121875,29.8714285714286,40.2142857142857,17.4285714285714,54.6642857142857,11.4428571428571
"329",2021-01-23,4.58108108108108,6.58108108108108,2.42567567567568,8.07432432432432,1.70945945945946,10.7976539589443,15.1876832844575,6,20.0938416422287,4.38709677419355,19.05625,25.903125,10.896875,35.859375,7.559375,30.5714285714286,41.1071428571429,18.45,56.3857142857143,11.8285714285714
"330",2021-01-24,4.34459459459459,6.39864864864865,1.99324324324324,8.39189189189189,1.64864864864865,11.4222873900293,15.9296187683284,6.36656891495601,20.8885630498534,4.27565982404692,19.65,26.86875,11.08125,36.6,8.04375,30.8642857142857,42.0214285714286,18.4,56.1785714285714,12.3571428571429
