"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"301",2020-12-26,11.2142857142857,17.1785714285714,7.07142857142857,21.5,4.75,16.0810810810811,23.045045045045,9.83783783783784,30.6306306306306,6.67567567567568,25.3333333333333,30.6666666666667,12,35,7.33333333333333
"302",2020-12-27,12.1428571428571,16.8571428571429,6.92857142857143,22.4642857142857,5.35714285714286,16.4234234234234,23.3063063063063,9.44144144144144,31.5045045045045,7.27927927927928,19.6666666666667,30.3333333333333,12.6666666666667,37.6666666666667,10.6666666666667
"303",2020-12-28,12.0714285714286,16.7142857142857,7.67857142857143,21.6428571428571,5.39285714285714,17.5315315315315,23.3333333333333,10.2702702702703,31.4144144144144,6.40540540540541,22.3333333333333,30,10.3333333333333,39,9
"304",2020-12-29,12.6071428571429,16.3928571428571,7.17857142857143,22.5714285714286,4.5,17.1981981981982,23.4594594594595,10.8918918918919,31.5675675675676,7.25225225225225,22.6666666666667,31,15,46.3333333333333,9.33333333333333
"305",2020-12-30,13.8214285714286,15.2142857142857,6.78571428571429,22.5714285714286,4.75,17.7117117117117,24.3873873873874,10.7927927927928,32.7207207207207,7.11711711711712,22.6666666666667,32,13,38.3333333333333,8.33333333333333
"306",2020-12-31,13.0714285714286,15.8571428571429,7.46428571428571,22.5,4.89285714285714,17.8738738738739,24.3963963963964,10.7747747747748,32.3603603603604,6.92792792792793,24.3333333333333,32,13.3333333333333,50,13
"307",2021-01-01,13.5,14.8214285714286,7.60714285714286,21.4285714285714,4.39285714285714,18.0810810810811,24.4414414414414,10.5405405405405,33.6486486486486,7.00900900900901,21.6666666666667,44.6666666666667,15.6666666666667,50,9.33333333333333
"308",2021-01-02,11.75,15.7857142857143,7.96428571428571,23.6071428571429,5.28571428571429,17.8648648648649,24.3423423423423,10.1261261261261,33.3513513513514,7.6036036036036,25.6666666666667,34.3333333333333,14.3333333333333,46,10
"309",2021-01-03,11.5,16.1785714285714,6.85714285714286,22.0357142857143,4.46428571428571,18.4144144144144,24.8108108108108,11.3153153153153,34.3423423423423,7.27927927927928,26.3333333333333,32.3333333333333,16.3333333333333,49.6666666666667,11.3333333333333
"310",2021-01-04,12,14.75,8.21428571428571,23.1428571428571,4.85714285714286,18.1801801801802,24.6036036036036,11.0630630630631,33.4234234234234,7.67567567567568,29.6666666666667,38.6666666666667,18.6666666666667,43,13
"311",2021-01-05,13.3214285714286,15.75,8.21428571428571,22.2857142857143,4.46428571428571,18.5765765765766,24.1081081081081,11.2252252252252,33.7477477477477,7.04504504504505,25,34.6666666666667,14.3333333333333,50,12.6666666666667
