"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"362",2021-02-25,90.9968253968254,97.5333333333333,57.8261904761905,157.745238095238,32.384126984127,143.153153153153,151.601201201201,91.0816816816817,253.95995995996,48.4,141.140740740741,145.192592592593,98.8962962962963,276.918518518518,46.562962962963
"363",2021-02-26,89.8007936507937,96.3238095238095,57.0309523809524,155.665476190476,31.7468253968254,140.837837837838,150.304204204204,90.5444444444445,251.023523523523,47.8072072072072,137.081481481481,141.918518518519,95.1592592592593,268.137037037037,47.9925925925926
"364",2021-02-27,88.2833333333333,96.8642857142857,56.0571428571428,154.121428571429,31.2166666666667,138.135135135135,148.502702702703,88.9531531531532,248.294294294294,47.1153153153153,128.355555555556,140.977777777778,91.4222222222222,262.355555555556,44.0888888888889
"365",2021-02-28,88.0873015873016,94.8690476190476,56.4047619047619,153.684523809524,31.5436507936508,135.747747747748,146.962462462462,87.0285285285285,245.447947947948,46.7297297297297,122.296296296296,141.037037037037,87.3518518518518,263.907407407407,41.1851851851852
"366",2021-03-01,87.4626984126984,94.9452380952381,56.6452380952381,153.069047619048,31.1920634920635,134.126126126126,144.692492492493,85.3561561561561,241.439439439439,45.5603603603604,122.237037037037,141.096296296296,85.6148148148148,259.125925925926,41.6148148148148
"367",2021-03-02,87.0166666666667,94.4857142857143,56.4928571428571,151.882142857143,30.8761904761905,132.27027027027,143.098198198198,84.0261261261261,240.070570570571,45.0216216216216,114.511111111111,136.155555555556,83.2111111111111,253.677777777778,41.3777777777778
"368",2021-03-03,86.0349206349206,93.9904761904762,56.6261904761905,150.838095238095,29.2746031746032,129.963963963964,141.666066066066,82.5339339339339,237.17017017017,44.7351351351351,110.118518518519,132.548148148148,82.1407407407407,244.22962962963,39.1407407407407
"369",2021-03-04,83.731746031746,92.852380952381,55.0452380952381,149.436904761905,29.6373015873016,128.333333333333,140.459159159159,81.4381381381381,232.846346346346,43.5477477477477,107.059259259259,124.940740740741,76.4037037037037,241.114814814815,37.5703703703704
"370",2021-03-05,83.2142857142857,91.9285714285714,54.8928571428571,150.071428571429,28.8571428571429,126.864864864865,138.648648648649,80.1801801801802,230.135135135135,42.5675675675676,104.333333333333,121.333333333333,74,236.666666666667,38.6666666666667
"371",2021-03-06,81.8571428571429,90.0714285714286,53.8214285714286,147.642857142857,28.3928571428571,125.63963963964,136.009009009009,79.1711711711712,226.702702702703,41.8918918918919,105,117.333333333333,68.6666666666667,229.333333333333,38.3333333333333
"372",2021-03-07,81.6071428571429,88.25,52.6428571428571,147.142857142857,27.1428571428571,123.90990990991,133.396396396396,78.018018018018,223.675675675676,41.0630630630631,102.666666666667,119.333333333333,63.6666666666667,222.666666666667,37.6666666666667
"373",2021-03-08,80.5714285714286,86.6071428571429,51.9285714285714,145.571428571429,27,121.576576576577,130.648648648649,76.7297297297297,219.954954954955,40.1981981981982,102,111,62.6666666666667,212.666666666667,37
"374",2021-03-09,78.6785714285714,86.1071428571429,51.9285714285714,144.607142857143,27.1785714285714,119.243243243243,127.864864864865,75.2072072072072,216.765765765766,39.2252252252252,96.3333333333333,107.666666666667,60,202.666666666667,34.6666666666667
"375",2021-03-10,77.6785714285714,83.8214285714286,51.4285714285714,142.678571428571,27.2857142857143,117.369369369369,125.522522522523,73.7567567567568,212.135135135135,38.0720720720721,94.6666666666667,104,57.3333333333333,189,32.6666666666667
"376",2021-03-11,76.3928571428571,83.1071428571429,51.5714285714286,139.571428571429,26.9285714285714,114.477477477477,123.009009009009,72.0720720720721,207.468468468468,37.1441441441441,88.6666666666667,98,53,180,30.6666666666667
"377",2021-03-12,75.5,80.5,50.6428571428571,135.214285714286,26.1071428571429,111.495495495495,119.954954954955,70.2612612612613,202.126126126126,36.5135135135135,89,92.6666666666667,53.3333333333333,168,27.6666666666667
"378",2021-03-13,73.4642857142857,79.4285714285714,50.1428571428571,132.392857142857,25.5357142857143,108.873873873874,116.837837837838,68.963963963964,197.900900900901,35.3513513513514,87.3333333333333,92,53,157.666666666667,27
"379",2021-03-14,72.25,77.4642857142857,49.1071428571429,131.178571428571,24.5,106.387387387387,114.252252252252,67.3063063063063,193.810810810811,34.2162162162162,85.6666666666667,88.3333333333333,51,152.333333333333,26
"380",2021-03-15,70.8214285714286,74.7142857142857,48.3214285714286,128.678571428571,24.0714285714286,104.36036036036,112.351351351351,66.1621621621622,189.171171171171,33.4414414414414,82,81.6666666666667,50,139,25
"381",2021-03-16,70.0357142857143,72.9285714285714,46.5357142857143,125.857142857143,22.9285714285714,101.72972972973,109.927927927928,64.4054054054054,184.522522522523,32.6576576576577,76.3333333333333,76.6666666666667,47.3333333333333,132.666666666667,22.3333333333333
"382",2021-03-17,68.8214285714286,71.5,45.2142857142857,120.785714285714,22.1785714285714,99.1081081081081,107.27027027027,62.5675675675676,179.648648648649,31.6036036036036,75.6666666666667,75.3333333333333,44.3333333333333,130,20
"383",2021-03-18,66.6071428571429,70.25,44.4285714285714,117.428571428571,21.1785714285714,96.990990990991,104.702702702703,61.3063063063063,175.594594594595,30.6666666666667,74,73.3333333333333,42.6666666666667,127,18
"384",2021-03-19,65.3928571428571,69.3214285714286,43.8571428571429,115,20.6785714285714,94.1171171171171,102.018018018018,59.990990990991,172.054054054054,29.5405405405405,69.6666666666667,70.6666666666667,40.6666666666667,121.333333333333,17.3333333333333
"385",2021-03-20,64.2857142857143,67.3214285714286,42.5357142857143,114.321428571429,20.4642857142857,91.981981981982,99.5675675675676,58.7387387387387,167.747747747748,28.3603603603604,66.6666666666667,65,39.6666666666667,121,18
"386",2021-03-21,62.5714285714286,65.6071428571429,40.8571428571429,111.892857142857,19.8571428571429,90.3153153153153,96.6126126126126,57.0900900900901,163.432432432432,27.4954954954955,66.3333333333333,62.3333333333333,38,121,17.6666666666667
"387",2021-03-22,61.25,63.8571428571429,39.6428571428571,109.892857142857,19.75,88.1351351351351,93.8738738738739,55.3873873873874,159.576576576577,26.8918918918919,62.6666666666667,63.6666666666667,36,118,16
"388",2021-03-23,60,63.2142857142857,39.3214285714286,108.607142857143,19.0357142857143,85.3603603603604,91.4864864864865,53.7477477477477,155.684684684685,25.954954954955,59,61.6666666666667,36.6666666666667,115.333333333333,17.3333333333333
"389",2021-03-24,57.1785714285714,62.4642857142857,38.0357142857143,107.357142857143,19.6785714285714,83.3243243243243,88.981981981982,52.2702702702703,152.063063063063,25.5045045045045,57.3333333333333,58.6666666666667,37.6666666666667,109.333333333333,18.6666666666667
"390",2021-03-25,55.4642857142857,61.6785714285714,37.4642857142857,104.142857142857,18.8214285714286,80.9189189189189,86.7207207207207,50.6306306306306,149.018018018018,24.8108108108108,58.6666666666667,56,35.3333333333333,103,17.6666666666667
"391",2021-03-26,53.7142857142857,60.5,35.75,102.285714285714,18.6071428571429,78.4144144144144,84.4954954954955,49.5315315315315,144.981981981982,24.1351351351351,56,51,34.6666666666667,98.6666666666667,16
"392",2021-03-27,52.6785714285714,58.6785714285714,35.3214285714286,99.5714285714286,17.6785714285714,76.1171171171171,81.8108108108108,47.7027027027027,141.63963963964,23.3063063063063,52.3333333333333,47.6666666666667,33.3333333333333,96.3333333333333,14
"393",2021-03-28,50.9642857142857,57.3571428571429,34,96.8571428571429,16.8928571428571,74.0900900900901,80.6036036036036,45.963963963964,137.495495495496,22.5765765765766,51.3333333333333,48.3333333333333,31.3333333333333,86.3333333333333,15
