patienttype,scenario,hospital,date,admitted,admitted_std,active,active_std
icu,moderate,SMH,2021-05-14,0.1790322580645161,0.2460901334839068,1.35806451612903,1.53376496360414
icu,moderate,SMH,2021-05-15,0.1577419354838709,0.2255918334917937,1.2677419354838702,1.531157499489
icu,moderate,SMH,2021-05-16,0.16645161290322566,0.2697136879454592,1.2,1.48280466596897
icu,moderate,SMH,2021-05-17,0.14806451612903218,0.22182409995656427,1.17741935483871,1.42923613196551
icu,moderate,SMH,2021-05-18,0.1558064516129031,0.23694662790279475,1.12258064516129,1.3214629423530901
icu,moderate,SMH,2021-05-19,0.1635483870967743,0.2402827418808639,1.09354838709677,1.3004801802686599
icu,moderate,SMH,2021-05-20,0.16645161290322566,0.2697136879454592,1.05806451612903,1.28634871947529
icu,moderate,SMH,2021-05-21,0.16064516129032258,0.27532895848386985,1.04516129032258,1.3042953133044701
icu,moderate,SMH,2021-05-22,0.12967741935483867,0.21012260431698662,1.00967741935484,1.29137457115993
icu,moderate,SMH,2021-05-23,0.1354838709677418,0.2226647807323014,0.9354838709677421,1.1950295952865901
icu,moderate,SMH,2021-05-24,0.13064516129032258,0.21966889282869959,0.8870967741935479,1.1764467923161201
icu,moderate,SMH,2021-05-25,0.1316129032258065,0.2313368828827212,0.8483870967741941,1.1271920487087501
icu,moderate,SMH,2021-05-26,0.13258064516129037,0.2131252508001249,0.8258064516129029,1.03891001874809
icu,moderate,SMH,2021-05-27,0.09967741935483869,0.18412800370443153,0.7677419354838709,1.02434466754059
icu,moderate,SMH,2021-05-28,0.10548387096774182,0.2006495694983031,0.735483870967742,1.04774670267468
icu,moderate,SMH,2021-05-29,0.0958064516129031,0.1765671615533931,0.6483870967741939,0.9683277796623241
icu,moderate,SMH,2021-05-30,0.0735483870967743,0.16813106230052097,0.6064516129032261,0.9051592210217059
icu,moderate,SMH,2021-05-31,0.0706451612903226,0.1559866719672729,0.567741935483871,0.8652380231060791
icu,moderate,SMH,2021-06-01,0.0658064516129031,0.15530976733401,0.503225806451613,0.790052620120856
icu,moderate,SMH,2021-06-02,0.07548387096774181,0.1583552296961241,0.47419354838709704,0.7689405119553259
icu,moderate,SMH,2021-06-03,0.07935483870967738,0.1564512803455065,0.438709677419355,0.779444557963303
icu,moderate,SMH,2021-06-04,0.0764516129032257,0.1606247557969134,0.4419354838709679,0.7920061068306391
icu,moderate,SMH,2021-06-05,0.061935483870967804,0.1413168335711367,0.419354838709677,0.748081138793459
icu,moderate,SMH,2021-06-06,0.0541935483870969,0.13185461675033128,0.406451612903226,0.7720669718029749
icu,moderate,SMH,2021-06-07,0.0474193548387096,0.11958173724885718,0.367741935483871,0.718594998669198
icu,moderate,SMH,2021-06-08,0.03,0.0931699799360844,0.37096774193548404,0.728096744895321
icu,moderate,SMH,2021-06-09,0.03967741935483869,0.11752786549382162,0.345161290322581,0.6957653987620128
icu,moderate,SMH,2021-06-10,0.02516129032258065,0.09304424780687909,0.309677419354839,0.6331461833495601
