"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"426",2021-04-30,1.19044787917188,1.92378250206249,0.879610413675643,1.94483357538719,0.567721968606362,2.30270908622919,3.18830596470197,1.57948416680768,3.82553106492019,1.28727016273946,2.61840372604682,3.69276669686211,2.31299384166933,4.32651922336246,1.46813263855087,1.80515754160129,1.99311314279947,1.3128570942795,2.85032892838704,0.973957776292176
"427",2021-05-01,1.1202104751568,1.71618150086755,0.821139564080147,1.94361040164559,0.666792032021847,1.95789002074512,2.61170206078737,1.71133556328117,3.11122133843532,1.36259052882571,2.77631265479383,3.43298639639868,1.79467286270133,4.72824867308972,1.48880414263725,1.60852222552254,1.92856812169029,1.32470515587432,2.55241919558681,0.875981592272349
"428",2021-05-02,1.31448658371502,1.87132476887212,0.892536888377566,1.80259222695643,0.481298687214748,2.41302762768303,2.99523799009093,1.46589017978987,3.32626565533731,1.22851913263867,2.91677643486258,3.4237682709423,1.8612249297555,4.43186570988272,1.63214292920211,1.72753437013566,1.80930753328449,1.20389991278345,2.60180225997288,0.722841614740048
"429",2021-05-03,1.1884893674877,1.67696190123106,0.790145326335505,1.72481337930473,0.598314342884294,2.20058914670426,3.24380807220893,1.53144901215077,3.06412938514171,1.17103093173182,2.56506641915599,3.37989735455164,1.93959954654352,4.3186747752518,1.09110567785066,1.46714007511212,1.86262583467534,0.991762950507832,2.28168660205559,0.721868235899045
"430",2021-05-04,1.19762194906759,1.67982462462368,0.771215265981902,1.84119190310589,0.612265928602537,2.37087668203697,2.8710721961587,1.42156017576933,3.22811030776863,1.14885730787361,2.82192592268949,3.39734297971698,1.75236731187181,3.4614388043231,1.40434652885648,1.66653645324667,1.63535164414263,1.07754060248327,2.19512955198549,0.59947894041409
"431",2021-05-05,1.11947370834617,1.56015381741513,0.723953597395595,1.65082704287933,0.426727247836606,2.02521823918405,2.17517717613979,1.42757840756274,3.03528630658839,1.0626790174373,2.16949814223776,3.38901539419022,1.72534040817828,3.59373504704232,1.18619112092942,1.24096736459909,1.72916164657906,1.16182776262233,2.19911203670936,0.556214886532175
"432",2021-05-06,1.06072737588144,1.73579451574435,0.710931482296688,1.93085854230153,0.457359384765918,1.92690502178051,2.60236254379129,1.47405546238018,3.19287401011134,1.16662992299575,2.17446240116652,2.43926828048902,1.85381899177169,3.80886282897799,1.27856999239816,1.3959203952948,1.68522995463527,1.051115478908,2.20666603726074,0.806225774829855
"433",2021-05-07,1.06597616110951,1.54744111384733,0.738522062341288,1.62427172382669,0.475465163035021,2.1233199604207,3.03289860313527,1.37745291869083,2.99639701336929,1.10305723050633,2.38004918989954,3.19020754062965,1.69020166772278,3.4767862792596,1.3439002257518,1.47457621030586,1.91209145963262,0.95123275280028,2.09702169755108,0.604152298679729
"434",2021-05-08,1.07291952205563,1.749344247128,0.689831082421095,1.62385335125276,0.559888570811723,1.7890269097894,2.54242129389787,1.34740516767268,3.36908553043485,0.993807989999906,2.65080549642801,2.7923633857023,1.44624069076815,3.39473732752669,1.34168512580245,1.12075588332161,1.58882818454357,0.855040203733134,2.00624026477389,0.661319703320565
"435",2021-05-09,0.958226216053789,1.51033229536027,0.782522820200184,1.60141714522269,0.524717261964729,1.76934244914091,2.52368750606288,1.56771591691834,2.86796494192193,0.931234780673088,2.09600055401403,2.47377680551858,1.38122879363588,3.68413806604863,1.13460520484029,1.04133327998293,1.64578058987217,0.793626958967498,1.76705970470723,0.644204936336256
"436",2021-05-10,1.10742159376103,1.53036357351311,0.780193554559779,1.62649625356173,0.521330307598934,2.07564424692203,2.12826042941609,1.27898493702459,2.60519424170963,0.901340261010218,2.2978988410891,2.68328711549843,1.89366331158846,3.25936165982026,1.26388775396012,1.11102430216445,1.56119945874959,0.778520230951001,1.77618798273156,0.559016994374947
"437",2021-05-11,1.10065180479526,1.65442453195141,0.664239638871061,1.60078058563347,0.578141308977868,1.77147319594472,2.47802412549384,1.01375147047772,2.51490754206398,0.893890250825717,2.10947411057839,2.46920353385705,1.55295193948601,3.45085320817424,1.0477164199387,1.26682427747498,1.2,0.867467578644873,1.604485898972,0.58309518948453
"438",2021-05-12,1.17472967445776,1.51858426912565,0.754997425090333,1.50458543466127,0.436732221858158,1.86281477210469,2.55790284041734,1.09098280656707,2.46052510928929,0.900959707790382,1.70714284825338,3.2528073263993,1.23652763611817,3.29577542219603,1.00474780117298,1.06646319673958,1.72554339267374,0.815475321515004,1.47457621030586,0.616314651781052
"439",2021-05-13,1.02104811401543,1.45125527120991,0.649163152200706,1.6475457647678,0.441154939452968,1.72199819331432,2.15808286993928,1.1945162194915,2.53980654459166,0.931280811902235,2.13856685041785,2.44100529314583,1.38063646532147,3.18936830678298,1.27303288665986,0.987104351119982,1.51032902044555,0.790174031463955,1.56524758424985,0.504820512657717
"440",2021-05-14,0.998166194528175,1.42709283087121,0.668609204497995,1.58683400998749,0.441154939452968,1.66964754007943,1.88695889054196,1.14766268111742,2.41238801029364,0.884634882407124,1.67637466121362,2.68760678301478,1.54681073128858,3.10879947026846,0.975914586524027,1.06646319673958,1.32988486343743,0.630476010645925,1.40512454963964,0.499374608885954
"441",2021-05-15,0.978226397570514,1.46859179910774,0.743107979236772,1.70057081029631,0.46000463172133,1.75767472501526,1.87000363107854,1.11768886326282,2.47428475483542,0.721687836487033,1.87903838355603,2.30164956494459,1.48725499634471,3.04438707836681,0.919822681616248,0.93799986673773,1.56344971137546,0.724568837309472,1.37931142241337,0.523808170993924
"442",2021-05-16,0.920747506794566,1.59437057186984,0.714268727503128,1.40590131900151,0.483762904322795,1.73588270102409,2.28722446375502,1.03189864561148,2.4509418418658,0.85401295917025,1.69512195121951,2.35820362368382,1.29870891821586,2.92370259821478,1.1219512195122,0.918898797474456,1.61941347407016,0.62449979983984,1.31244047484067,0.390512483795333
"443",2021-05-17,1.03610007282902,1.32745596480411,0.623381449091069,1.34360904031693,0.503717163789723,1.59280790964794,2.23796506995104,1.19956553634827,2.28707452360941,0.94439905482796,1.61551998395575,2.43123756991297,1.16640460499691,2.76054573056082,0.975685972632664,1.02156436410047,1.45752358471484,0.650840802347241,1.18953772533703,0.473682383037411
