"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"308",2021-01-02,6.04808961555361,9.15208893526273,3.52710047609203,10.5375226975059,2.73027306895948,8.97399458854146,14.7525078661288,5.1138193978688,15.2178369595812,4.00638208283858,18.7834967497727,25.8913783743266,9.83856154515541,32.8664849027574,7.47700221782619,65.4686458829721,95.5050260457532,35.7751637836922,123.101865846948,27.3974337301872
"309",2021-01-03,6.07379773717982,9.03578805618562,3.53649296605672,10.5795812819064,2.71595256946465,9.0876457464307,15.0159608727775,5.17353187858792,15.5974606415163,4.02166415540572,19.4063478149438,26.6881209551923,10.5510359917736,34.1327411939889,8.11826071577991,69.3660174364941,100.95865180855,37.7097136027311,129.532563473437,28.5770449836928
"310",2021-01-04,6.14478659440356,8.97470973550481,3.41141452119277,10.7597010410493,2.74224555777179,9.25362791718089,15.1957365103926,5.43505110567159,15.7025790128348,4.18685438689531,20.1583595229265,27.7720521893477,10.8307033217508,35.241362048709,8.15616648646334,73.2287501173549,105.162742927331,40.0646957276603,134.818394052889,30.0650726549929
"311",2021-01-05,6.19307241512595,9.12255155537834,3.3786065417699,11.2658579969562,2.82907051547985,9.48142270670441,14.9861018146632,5.4134526710477,16.5156818482792,4.33329376366865,20.5897868330938,29.5646278835322,11.579799689832,36.5447335340939,8.30304230991496,76.3817550204236,109.604709496216,42.5769138589212,140.184412025731,31.5863795804458
"312",2021-01-06,6.33777489491021,9.38772545460798,3.52663260327798,11.6560093641174,2.88929589519271,9.96922562356815,15.8463126355206,5.46615568975961,17.4098180954877,4.50068581879542,21.6424627236,31.4173798224453,12.1146429851623,37.7929111665638,8.70184975583417,79.2968700123151,114.382734711144,44.4453597127979,144.797649756479,33.3739208627036
"313",2021-01-07,6.5220186609603,9.72955913188127,3.60745881893156,11.7325941272277,2.94821721733839,9.74426073563052,16.0151114980913,5.53914242147935,18.0486002747938,4.68341900541121,22.7329143665712,32.2663038857651,12.6716002425393,38.9994356187904,9.14656910285824,82.1133658045388,118.935904482204,46.5731682409518,151.137527913321,34.0302599718251
"314",2021-01-08,6.41608927290699,10.0580228393372,3.63918402467561,11.775167334276,2.88520279294158,10.4501027160696,16.1690184323128,5.85232065632702,19.014097993241,4.77558807128628,23.3880597418639,32.8165837307494,13.6457529461798,40.0320662665036,9.38141016228139,84.8595079749465,124.038260226432,48.389300211927,156.070558962925,34.7403223934379
"315",2021-01-09,6.74840889337273,10.2030324389625,3.72873540078899,11.7479391637578,2.91776189326203,10.3947629791973,16.2804215608895,6.20557600270734,19.2712124587331,4.88004250133283,23.5133462930415,33.75297814432,14.1097139363158,42.1035750868992,10.2352242567499,88.9779431938051,127.886760822808,50.1338193612855,160.767560763202,35.8861372085378
"316",2021-01-10,6.93809794094688,10.2155706148372,3.75151534170821,11.864331322809,3.07114314410844,10.633738236805,16.4960609672383,6.34568726881338,20.3571169006026,5.30395554698985,23.8343854505143,35.7162873578622,14.1971752768556,43.5584695971592,10.6023032416247,92.6251779687899,131.717574283009,52.6443491744366,167.348061218976,36.5492475982749
"317",2021-01-11,7.09525158568638,10.5071085577048,3.7263266693551,11.8737259221417,3.1499988348205,10.9735309424226,16.8991704409187,7.02359827899037,20.941937089986,5.31739516662291,24.4828850368243,36.881752701464,15.0497094230429,46.0958720170655,11.1840172886432,96.728291330665,135.461756595727,55.0347390290896,176.509091479731,37.7490873234043
"318",2021-01-12,7.36469512315885,10.3579789731802,3.87028506777735,12.2440422909554,3.14314281327514,11.3927575482929,17.3695288234905,7.1290944965116,21.6187246578031,5.64790527710977,25.3820187703621,38.2537338812776,15.301962602503,49.0176748828631,11.5906791410437,100.43930925564,139.396843019309,57.1981151350287,182.938985730216,39.9344775851644
"319",2021-01-13,7.32148315615178,10.4149977632081,4.01002771308386,12.6548799886446,3.13884729606758,11.4539544569695,17.8347659129989,7.33312289260344,22.5366395016523,5.55100894201662,26.6779323813738,38.4902488481824,16.011154834039,50.4801042790032,11.9295285987228,103.239136837732,144.506485581098,58.9396288056686,189.324291890925,42.4944683900152
