"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"425",2021-04-29,1.064039408867,2.07389162561576,0.551724137931034,2.24630541871921,0.285714285714286,3.34259259259259,5.36111111111111,2,6.32407407407407,1.40740740740741,5.17073170731707,6.36585365853659,3.24390243902439,8.76829268292683,1.71951219512195,2.1125,3.15,1.3,3.825,0.8125
"426",2021-04-30,0.960591133004926,2.05911330049261,0.591133004926108,2.02955665024631,0.285714285714286,3.44444444444444,4.96296296296296,1.87962962962963,6.43518518518519,1.48148148148148,4.4390243902439,5.5609756097561,2.9390243902439,8.15853658536585,1.64634146341463,2.0625,2.55,1.3375,3.775,0.6625
"427",2021-05-01,1.07881773399015,2.07389162561576,0.596059113300493,2.14285714285714,0.389162561576355,2.66666666666667,4.88888888888889,1.81481481481481,5.92592592592593,1.2962962962963,4.21951219512195,6.08536585365854,2.32926829268293,8.09756097560976,1.68292682926829,2.0125,2.425,1.0875,3.3125,0.5875
"428",2021-05-02,1.03448275862069,1.97536945812808,0.571428571428571,2.10837438423645,0.221674876847291,3.46296296296296,4.69444444444444,1.59259259259259,5.80555555555556,1.16666666666667,4.25609756097561,6.09756097560976,2.42682926829268,7.76829268292683,1.65853658536585,1.875,2.3375,1.025,3.175,0.45
"429",2021-05-03,1.07881773399015,1.97536945812808,0.492610837438424,2.01970443349754,0.300492610837438,2.83333333333333,4.57407407407407,1.68518518518519,5.66666666666667,1.21296296296296,4.13414634146341,5.35365853658537,2.51219512195122,7.69512195121951,1.25609756097561,1.65,2.075,0.9375,3.3625,0.4375
"430",2021-05-04,1.11822660098522,1.89655172413793,0.492610837438424,2.064039408867,0.270935960591133,3.09259259259259,4.41666666666667,1.75,5.62037037037037,1.06481481481481,4.01219512195122,5.34146341463415,2.04878048780488,6.48780487804878,1.40243902439024,1.8125,2.275,0.9625,3.2625,0.375
"431",2021-05-05,1.08866995073892,1.80295566502463,0.458128078817734,1.9064039408867,0.172413793103448,2.51851851851852,3.99074074074074,1.71296296296296,5.16666666666667,0.981481481481482,3.02439024390244,5.04878048780488,2.26829268292683,6.63414634146341,1.30487804878049,1.4,2.1,0.8875,2.9625,0.375
"432",2021-05-06,0.945812807881773,1.83743842364532,0.472906403940887,2.10344827586207,0.216748768472906,2.83333333333333,3.92592592592593,1.55555555555556,5.5,1.00925925925926,3.40243902439024,4.41463414634146,2.04878048780488,6.17073170731707,1.21951219512195,1.5375,2.1,0.9125,2.925,0.5
"433",2021-05-07,0.87192118226601,1.72906403940887,0.512315270935961,1.85221674876847,0.211822660098522,2.63888888888889,4.12037037037037,1.52777777777778,4.72222222222222,0.925925925925926,3.5,4.71951219512195,1.81707317073171,5.90243902439024,1.26829268292683,1.475,2.2375,0.7125,2.55,0.4
"434",2021-05-08,0.960591133004926,2.0935960591133,0.472906403940887,1.94088669950739,0.266009852216749,2.61111111111111,3.71296296296296,1.59259259259259,4.89814814814815,0.777777777777778,3.5609756097561,4.30487804878049,1.60975609756098,6.01219512195122,1.17073170731707,1.2375,2.275,0.7625,2.5,0.3875
"435",2021-05-09,0.886699507389163,1.69458128078818,0.45320197044335,1.95566502463054,0.211822660098522,2.21296296296296,3.96296296296296,1.62037037037037,4.65740740740741,0.824074074074074,3.14634146341463,4.04878048780488,1.65853658536585,5.70731707317073,1.07317073170732,1.125,1.9375,0.7125,2.55,0.4
"436",2021-05-10,1.01477832512315,1.71428571428571,0.423645320197044,1.93103448275862,0.241379310344828,2.31481481481481,3.37037037037037,1.22222222222222,4.16666666666667,0.759259259259259,3.01219512195122,4.08536585365854,1.78048780487805,5.24390243902439,1.01219512195122,1.125,2.0125,0.6375,2.2875,0.25
"437",2021-05-11,0.876847290640394,1.73399014778325,0.423645320197044,1.7487684729064,0.29064039408867,2.19444444444444,3.37037037037037,0.990740740740741,4.09259259259259,0.814814814814815,2.96341463414634,3.97560975609756,1.68292682926829,5.48780487804878,0.890243902439024,1.2875,1.6,0.65,2.225,0.4
"438",2021-05-12,0.862068965517241,1.86206896551724,0.428571428571429,1.66009852216749,0.201970443349754,2.4537037037037,3.35185185185185,1.06481481481481,4.03703703703704,0.722222222222222,2.29268292682927,3.74390243902439,1.30487804878049,5.0609756097561,0.878048780487805,0.9875,1.85,0.6,2.025,0.2875
"439",2021-05-13,0.83743842364532,1.6256157635468,0.339901477832512,1.77832512315271,0.192118226600985,1.91666666666667,3.00925925925926,1.21296296296296,3.77777777777778,0.722222222222222,2.36585365853659,3.23170731707317,1.45121951219512,4.67073170731707,0.963414634146341,0.975,1.6375,0.525,2,0.2875
"440",2021-05-14,0.817733990147783,1.71428571428571,0.359605911330049,1.73891625615764,0.192118226600985,2.09259259259259,3.06481481481481,1.08333333333333,3.7037037037037,0.703703703703704,2.34146341463415,3.45121951219512,1.4390243902439,4.5,0.731707317073171,0.9875,1.7375,0.45,1.725,0.275
"441",2021-05-15,0.817733990147783,1.68472906403941,0.443349753694581,1.59113300492611,0.157635467980296,1.67592592592593,3.05555555555556,0.972222222222222,3.62962962962963,0.583333333333333,2.13414634146341,3.08536585365854,1.30487804878049,4,0.695121951219512,0.9125,1.575,0.5,1.65,0.225
"442",2021-05-16,0.729064039408867,1.61576354679803,0.423645320197044,1.41379310344828,0.192118226600985,1.87962962962963,2.99074074074074,0.833333333333333,3.5462962962963,0.546296296296296,2.25609756097561,2.89024390243902,1.45121951219512,4.15853658536585,0.902439024390244,0.825,1.45,0.4,1.55,0.15
"443",2021-05-17,0.876847290640394,1.42857142857143,0.330049261083744,1.53694581280788,0.192118226600985,1.66666666666667,2.86111111111111,0.925925925925926,3.02777777777778,0.657407407407407,2.10975609756098,3.0609756097561,1.07317073170732,3.96341463414634,0.573170731707317,0.8625,1.525,0.4625,1.6,0.225
"444",2021-05-18,0.748768472906404,1.60098522167488,0.423645320197044,1.48275862068966,0.16256157635468,1.39814814814815,2.73148148148148,0.962962962962963,2.82407407407407,0.574074074074074,1.90243902439024,2.64634146341463,1.1219512195122,3.78048780487805,0.658536585365854,0.8625,1.4875,0.3625,1.2875,0.225
"445",2021-05-19,0.793103448275862,1.57635467980296,0.285714285714286,1.62068965517241,0.157635467980296,1.52777777777778,2.75925925925926,0.907407407407407,3.11111111111111,0.398148148148148,1.73170731707317,2.9390243902439,0.963414634146341,3.60975609756098,0.48780487804878,0.6875,1.2,0.425,1.375,0.1875
"446",2021-05-20,0.669950738916256,1.63546798029557,0.399014778325123,1.25615763546798,0.192118226600985,1.63888888888889,2.62962962962963,0.898148148148148,2.63888888888889,0.555555555555556,1.92682926829268,2.51219512195122,0.902439024390244,2.95121951219512,0.524390243902439,0.7625,1.05,0.275,1.1875,0.0875
"447",2021-05-21,0.768472906403941,1.47783251231527,0.29064039408867,1.45812807881773,0.192118226600985,1.52777777777778,2.65740740740741,0.814814814814815,2.77777777777778,0.601851851851852,1.70731707317073,2.13414634146341,0.792682926829268,2.85365853658537,0.573170731707317,0.6125,1.45,0.35,1.2125,0.0875
"448",2021-05-22,0.738916256157635,1.4679802955665,0.364532019704433,1.38423645320197,0.16256157635468,1.50925925925926,2.37037037037037,0.75,2.7962962962963,0.351851851851852,1.59756097560976,2.90243902439024,0.731707317073171,2.48780487804878,0.51219512195122,0.55,1.3875,0.325,1.4,0.1625
"449",2021-05-23,0.738916256157635,1.55665024630542,0.285714285714286,1.31034482758621,0.157635467980296,1.31481481481481,2.01851851851852,0.638888888888889,2.37962962962963,0.407407407407407,1.40243902439024,2.4390243902439,0.817073170731707,2.73170731707317,0.439024390243902,0.6625,1.0375,0.2,1.2875,0.125
"450",2021-05-24,0.61576354679803,1.51724137931034,0.266009852216749,1.20197044334975,0.147783251231527,1.25925925925926,2.18518518518519,0.703703703703704,2.52777777777778,0.5,1.52439024390244,2.30487804878049,0.75609756097561,2.5609756097561,0.341463414634146,0.6625,1.05,0.2875,1.3,0.175
"451",2021-05-25,0.699507389162562,1.4384236453202,0.32512315270936,1.31527093596059,0.137931034482759,1.55555555555556,2.18518518518519,0.638888888888889,2.26851851851852,0.416666666666667,1.39024390243902,2.03658536585366,0.75609756097561,2.65853658536585,0.353658536585366,0.6375,1.0875,0.3,1.0125,0.15
"452",2021-05-26,0.620689655172414,1.43349753694581,0.359605911330049,1.2807881773399,0.142857142857143,1.07407407407407,1.87962962962963,0.740740740740741,1.9537037037037,0.5,1.40243902439024,1.92682926829268,0.804878048780488,2.31707317073171,0.5,0.425,1.15,0.1875,1.2375,0.1125
"453",2021-05-27,0.660098522167488,1.48275862068966,0.261083743842365,1.35960591133005,0.147783251231527,1.09259259259259,1.99074074074074,0.62962962962963,2.41666666666667,0.37962962962963,1.21951219512195,2.19512195121951,0.658536585365854,2.32926829268293,0.268292682926829,0.6625,1.1625,0.15,1,0.0875
"454",2021-05-28,0.704433497536946,1.30049261083744,0.330049261083744,1.39408866995074,0.108374384236453,1.09259259259259,2.0462962962963,0.481481481481481,2.24074074074074,0.231481481481481,1.23170731707317,1.92682926829268,0.597560975609756,2.25609756097561,0.292682926829268,0.5125,0.9625,0.2125,1.25,0.1
"455",2021-05-29,0.778325123152709,1.46305418719212,0.32512315270936,1.39408866995074,0.0985221674876847,1.16666666666667,1.99074074074074,0.564814814814815,2.22222222222222,0.203703703703704,1.03658536585366,1.60975609756098,0.597560975609756,1.9390243902439,0.292682926829268,0.6,1.2625,0.275,0.8625,0.0875
"456",2021-05-30,0.620689655172414,1.24630541871921,0.280788177339901,1.39408866995074,0.123152709359606,1.11111111111111,1.75925925925926,0.518518518518518,2.00925925925926,0.333333333333333,1,1.9390243902439,0.463414634146341,1.92682926829268,0.353658536585366,0.425,0.9625,0.1875,0.9,0.1
"457",2021-05-31,0.640394088669951,1.3448275862069,0.266009852216749,1.17733990147783,0.12807881773399,1.07407407407407,1.55555555555556,0.555555555555556,1.91666666666667,0.25,0.951219512195122,1.13414634146341,0.536585365853659,2.02439024390244,0.268292682926829,0.4625,0.9875,0.225,1,0.0875
"458",2021-06-01,0.551724137931034,1.22167487684729,0.280788177339901,1.29556650246305,0.12807881773399,0.861111111111111,1.60185185185185,0.5,1.7962962962963,0.287037037037037,0.731707317073171,1.81707317073171,0.426829268292683,1.76829268292683,0.280487804878049,0.4875,0.7625,0.15,0.9125,0.0375
"459",2021-06-02,0.502463054187192,1.16256157635468,0.251231527093596,1.35960591133005,0.113300492610837,0.888888888888889,1.64814814814815,0.398148148148148,1.96296296296296,0.287037037037037,0.792682926829268,1.3780487804878,0.426829268292683,1.82926829268293,0.195121951219512,0.4375,0.9,0.125,0.9,0.0125
"460",2021-06-03,0.591133004926108,1.1576354679803,0.300492610837438,1.35467980295567,0.083743842364532,0.972222222222222,1.37962962962963,0.425925925925926,1.80555555555556,0.277777777777778,1.01219512195122,1.36585365853659,0.548780487804878,1.69512195121951,0.304878048780488,0.5,0.975,0.2625,1.1125,0.075
"461",2021-06-04,0.605911330049261,1.21182266009852,0.25615763546798,1.3448275862069,0.113300492610837,0.87037037037037,1.38888888888889,0.435185185185185,1.7037037037037,0.148148148148148,0.804878048780488,1.5,0.378048780487805,1.59756097560976,0.170731707317073,0.3125,0.8,0.25,0.9875,0.0625
"462",2021-06-05,0.522167487684729,1.26108374384236,0.280788177339901,1.36453201970443,0.0788177339901478,0.638888888888889,1.2962962962963,0.398148148148148,1.59259259259259,0.194444444444444,0.780487804878049,1.42682926829268,0.378048780487805,1.68292682926829,0.231707317073171,0.4375,0.7375,0.175,1.125,0.0375
"463",2021-06-06,0.571428571428571,1.13300492610837,0.305418719211823,1.24630541871921,0.083743842364532,0.712962962962963,1.37037037037037,0.435185185185185,1.65740740740741,0.157407407407407,0.890243902439024,1.35365853658537,0.451219512195122,1.5609756097561,0.134146341463415,0.3125,0.75,0.1,1.0125,0.0375
"464",2021-06-07,0.586206896551724,1.04433497536946,0.246305418719212,1.30049261083744,0.0935960591133005,0.583333333333333,1.13888888888889,0.324074074074074,1.7037037037037,0.101851851851852,0.658536585365854,1.32926829268293,0.378048780487805,1.32926829268293,0.170731707317073,0.4,0.7625,0.1125,1.025,0.0625
"465",2021-06-08,0.522167487684729,1.01970443349754,0.25615763546798,1.33004926108374,0.0738916256157636,0.814814814814815,1.30555555555556,0.361111111111111,1.68518518518519,0.175925925925926,0.585365853658537,1.09756097560976,0.475609756097561,1.6219512195122,0.109756097560976,0.4,0.9625,0.125,1.125,0.0375
"466",2021-06-09,0.556650246305419,1.13300492610837,0.305418719211823,1.2512315270936,0.0886699507389163,0.62962962962963,1.30555555555556,0.37962962962963,1.53703703703704,0.12962962962963,0.634146341463415,1.07317073170732,0.378048780487805,1.46341463414634,0.182926829268293,0.5375,0.875,0.1625,1.075,0.0875
