"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"456",2021-05-30,13.832512315271,9.08866995073893,4.95566502463054,11.6748768472906,5.55665024630542,24.0648148148148,22.0925925925926,10.6111111111111,28.9166666666666,9.82407407407408,26.4634146341464,20.4268292682927,11.7560975609756,28.1219512195121,10.1585365853658,13.625,3.4625,4,3.6625,5.0375
"457",2021-05-31,13.7832512315271,8.82758620689657,4.92118226600985,11.2413793103448,5.48768472906404,23.2962962962963,21.0740740740741,10.3703703703704,27.6388888888888,9.47222222222222,25.4146341463415,18.4878048780488,11.0975609756098,26.670731707317,9.70731707317073,13.25,2.9375,3.7625,3.325,4.925
"458",2021-06-01,13.5369458128079,8.47783251231528,4.79802955665025,10.9014778325123,5.44827586206897,22.4722222222222,20.1574074074074,10,26.3148148148148,9.13888888888889,24.1463414634147,17.0243902439024,10.4634146341463,25,9.36585365853658,13,2.375,3.525,2.575,4.8125
"459",2021-06-02,13.2857142857143,8.11822660098523,4.67487684729064,10.6354679802956,5.4384236453202,21.7037037037037,18.8333333333334,9.36111111111111,25.3333333333333,8.95370370370371,23.109756097561,15.8780487804878,9.91463414634146,23.5243902439024,9.03658536585365,12.5125,1.95,3.3,1.975,4.65
"460",2021-06-03,13.0837438423646,7.81280788177341,4.61576354679803,10.5172413793103,5.31034482758621,21.0925925925926,17.7407407407408,8.92592592592592,24.3055555555555,8.74074074074074,22.2073170731708,15.1341463414634,9.63414634146342,21.9146341463414,8.79268292682926,12.2375,1.5125,3.275,1.6875,4.5875
"461",2021-06-04,12.9655172413794,7.4729064039409,4.55172413793103,10.5911330049261,5.27093596059113,20.3611111111111,16.6388888888889,8.4537037037037,23.037037037037,8.27777777777778,21.4634146341464,14.0731707317073,9.32926829268293,20.4146341463414,8.41463414634146,11.8625,1.1625,3.225,1.3375,4.475
"462",2021-06-05,12.832512315271,7.24137931034484,4.51724137931034,10.4729064039409,5.17733990147783,19.6111111111111,15.4537037037037,8.29629629629629,21.9629629629629,8.03703703703704,20.3902439024391,12.9390243902439,8.80487804878049,19.2195121951219,8.12195121951219,11.6125,0.650000000000002,3.075,0.950000000000001,4.3375
"463",2021-06-06,12.7487684729064,6.86699507389164,4.52709359605911,10.4137931034483,5.14778325123153,19.1759259259259,14.6666666666667,8.06481481481481,21.2407407407407,7.87037037037037,19.7926829268293,12.1219512195122,8.42682926829268,17.9512195121951,7.65853658536585,11.3875,0.250000000000002,2.8125,0.712500000000002,4.2375
"464",2021-06-07,12.5369458128079,6.65024630541873,4.43349753694581,10.423645320197,5.10837438423645,18.4074074074074,13.5185185185185,7.72222222222222,20.5833333333333,7.58333333333334,19.3414634146342,11.1951219512195,7.97560975609756,16.6341463414634,7.46341463414634,11.1875,-0.224999999999998,2.5,0.400000000000002,4.15
"465",2021-06-08,12.4088669950739,6.30541871921184,4.35960591133005,10.3793103448276,5.02463054187192,17.8148148148148,12.8888888888889,7.5,19.9814814814814,7.32407407407408,18.5731707317074,10.109756097561,7.80487804878049,15.8170731707317,7.04878048780487,10.975,-0.337499999999999,2.35,0.250000000000002,4.075
"466",2021-06-09,12.3054187192119,6.01970443349755,4.38423645320197,10.0541871921182,4.99014778325123,17.2037037037037,12.4351851851852,7.05555555555555,19.1018518518518,7.0462962962963,17.8414634146342,9.03658536585365,7.54878048780488,14.670731707317,6.80487804878048,10.875,-0.374999999999998,2.2625,-0.0374999999999979,4.05
"467",2021-06-10,12.2315270935961,5.5665024630542,4.19704433497537,10.0295566502463,4.95073891625616,16.5925925925926,11.8981481481482,6.74074074074074,18.4166666666666,6.82407407407408,17.0975609756098,8.12195121951219,7.19512195121951,14.1951219512195,6.3780487804878,10.6875,-0.624999999999998,2.25,-0.0999999999999979,4.075
"468",2021-06-11,12.2216748768473,5.2216748768473,3.99507389162562,9.91625615763547,4.90147783251232,16.1759259259259,11.1666666666667,6.44444444444444,17.8888888888888,6.61111111111111,16.5365853658537,7.20731707317072,6.9390243902439,13.7195121951219,6.23170731707317,10.45,-0.674999999999999,2.05,0.0125000000000011,3.95
"469",2021-06-12,12.1625615763547,5.07881773399016,3.94581280788177,9.79310344827586,4.8768472906404,15.712962962963,10.462962962963,6.30555555555555,17.6296296296296,6.45370370370371,15.9512195121952,6.34146341463414,6.52439024390244,12.8292682926829,5.95121951219512,10.4125,-0.862499999999999,2.0125,0.475000000000001,3.9125
