"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH","NA","NA","NA","NA","NA"
"345",2021-02-08,12.2365146077535,10.9839301264371,5.05449339514695,17.9881230410951,4.81159536624729,36.1319665504522,44.7448370029015,18.9268125854993,60.8786033818678,14.937736949548,72.4494127437103,97.1360994846432,38.5921373020074,128.462933504717,29.3671875898391,168.16117221135,221.972340096187,98.2912412529157,304.885140663352,67.8253664454788
"346",2021-02-09,12.3491832746956,10.864995083423,5.12799693603983,18.04010513673,4.97465194149092,36.6798570694258,45.5841054706752,19.4819580790661,61.9876571447935,14.9954476806904,74.4009498729744,99.9229088928107,39.1261601378043,132.218182356899,30.3113392450986,171.293915494315,224.729749502558,99.5415495039748,310.319835982867,68.9404609756098
"347",2021-02-10,12.5023185621436,10.8604791328531,5.14983276200186,18.132276879781,4.9431436136979,37.4059157203566,46.3452936600545,20.0492352092352,63.4741107609185,15.2535937764248,76.0545225564236,102.622329029754,40.5307306238222,134.927533763966,31.1233503919861,174.27391181245,227.622204968944,101.078982200647,315.923030381311,69.9214044401544
"348",2021-02-11,12.3874826051759,10.9288551724138,5.21329306374225,18.2620756055959,4.97607735197731,37.8234258991418,47.3679123482801,20.6450349993396,64.244228925437,15.0678965705411,77.9689692977824,105.40747659753,41.9007709581692,137.320084450156,31.771206184193,176.925834418605,230.755751258088,103.391088528125,321.113416805008,71.4648758764449
"349",2021-02-12,12.350026780932,11.0448594458304,5.24017929622701,18.4213879144881,4.98239968314479,38.2252878684212,48.2438161063986,20.98667998668,65.0762820980006,15.3550797562812,79.5677800820903,107.66493321314,43.171384220702,139.151132404181,32.6857279569614,179.281631639,233.170212962456,105.551890947276,325.999136092571,72.689834584702
"350",2021-02-13,12.5462015949104,11.2856312134375,5.30531374886595,18.4013764649393,5.06322718984401,38.5659982111754,49.2321010633714,21.3767771216098,66.2143107541788,15.420326988775,80.9065050810468,110.303915949938,44.6875375577707,142.146414462384,33.3302382735346,181.800560882856,235.82554791825,107.201605100464,330.093518789654,72.6988108614232
"351",2021-02-14,12.6861330242644,11.4129631570571,5.42172631412349,18.4599502738003,5.12183748624994,39.2868878807985,50.4255846486026,21.7189134250304,66.8582346192944,15.5867593591434,82.5743064788262,112.935009729648,46.3010307993591,145.616712036442,33.9584305194773,183.576385584514,236.964984795888,108.564837336576,334.420821511291,73.3589867994442
"352",2021-02-15,12.7547265226912,11.5288055551073,5.34518033829422,18.5925357768362,5.12945213248639,40.207502374169,51.0200621453661,22.1359255741972,68.0760657125269,15.7740066983267,84.2094065800471,115.043645560521,47.9632736601378,148.732755584754,35.1696541107423,184.94027136362,239.544215052615,110.189795948942,337.059639354604,73.9464653600729
"353",2021-02-16,12.9406803770703,11.5569666790233,5.38995685646697,18.6187891089115,5.25504916104093,40.9126984126984,51.972954532781,22.4148845315904,68.8815683641026,16.1580915891261,85.3608250385049,117.225882374323,49.0959877389036,151.621563614365,35.2254076926734,187.130558900616,240.72215506018,111.22740744037,339.680058651026,74.5042207792208
"354",2021-02-17,13.0747500112103,11.6980344941529,5.4407085733941,18.7682957124269,5.24868504687748,41.6102204528609,52.3388962020379,22.9461457392352,70.0209962253977,16.3949626528133,86.8116772739851,119.682491061667,50.2042872189855,154.080468521696,35.7770583660504,188.733645529341,242.172428620571,111.76523135868,342.025747447397,74.8059216394612
